32	48	40	28	11	88	47	52	76	72	4	29	20	57	7	88	0	57	11	58	58	48	5	41	38	55	22	4	81	44	
55	31	42	39	22	40	66	56	74	38	59	46	6	80	42	46	36	75	34	32	37	28	3	86	80	34	77	75	86	2	
22	88	17	12	43	76	12	68	27	88	81	61	38	29	64	37	85	42	50	20	24	65	73	60	45	81	63	45	41	23	
24	62	48	35	5	89	24	35	10	57	68	32	54	21	4	11	87	72	84	24	63	55	7	30	75	45	30	48	44	16	
62	62	8	21	40	52	51	23	63	44	18	27	25	24	6	69	60	75	2	6	87	39	82	3	0	37	17	19	62	9	
67	86	29	12	34	63	48	35	48	16	50	26	37	36	56	8	22	38	65	67	43	39	85	60	60	1	8	64	88	11	
69	89	24	80	58	82	5	0	63	23	41	35	32	10	49	53	15	23	75	54	29	81	14	35	2	41	83	15	31	52	
40	57	29	84	19	41	37	57	66	56	13	13	87	41	17	78	36	48	77	31	57	22	27	71	24	9	9	25	38	78	
31	1	64	55	19	38	61	32	89	50	23	21	89	6	74	0	7	71	17	11	82	15	78	9	87	67	54	21	56	13	
63	2	37	81	33	3	72	74	5	53	66	38	65	7	25	68	18	41	39	1	27	75	25	68	57	51	60	33	78	79	
54	10	86	2	44	40	80	35	70	12	52	58	18	19	30	34	70	52	6	59	15	13	76	4	70	13	0	75	72	55	
58	50	62	25	88	75	11	86	88	2	22	40	68	58	3	76	36	85	17	20	87	2	52	87	74	40	44	75	22	70	
62	76	10	54	54	88	0	14	49	56	64	82	6	3	67	78	65	5	88	0	84	66	36	9	66	10	35	1	11	32	
66	8	28	88	67	89	59	36	13	40	23	22	5	70	81	16	58	63	13	2	26	57	89	48	9	43	84	21	28	23	
10	39	0	42	5	61	40	68	76	79	85	3	18	22	50	70	87	21	75	34	65	43	69	71	36	27	24	86	52	60	
34	59	40	87	43	37	51	86	61	49	83	31	18	72	30	6	58	72	83	28	63	47	41	32	81	18	61	11	57	85	
81	11	61	62	51	55	65	18	39	72	36	14	24	2	2	0	41	58	77	35	71	25	43	89	56	64	38	54	32	45	
21	57	66	47	79	48	12	22	47	55	78	17	11	11	37	84	51	49	88	9	8	15	51	85	15	19	17	17	61	74	
43	23	23	30	76	87	81	65	46	68	57	69	45	36	53	3	88	0	29	21	47	27	40	18	43	55	16	5	5	15	
43	72	74	87	22	87	2	5	72	19	27	70	28	1	63	45	11	36	30	30	51	35	57	62	58	72	63	45	30	12	
58	46	56	14	67	28	79	65	85	74	66	40	35	15	75	33	65	63	1	62	48	81	29	19	64	42	14	58	55	63	
67	65	25	34	76	75	45	28	12	29	34	89	3	51	40	18	22	74	82	8	6	6	4	20	48	87	63	3	40	68	
27	80	88	74	43	74	48	49	49	10	83	80	14	64	61	53	34	82	84	13	43	51	12	52	7	41	57	29	34	57	
38	62	45	48	20	42	29	76	56	36	5	78	38	28	58	4	69	53	16	74	71	28	15	61	55	31	63	39	2	12	
26	38	8	43	47	38	6	14	21	82	69	47	44	44	40	33	66	53	74	45	17	44	89	38	60	68	74	75	53	38	
0	1	58	37	21	43	88	15	62	2	27	68	83	86	42	74	36	52	57	64	40	19	55	17	27	24	39	44	31	66	
71	76	67	17	7	66	73	6	84	63	12	59	12	50	8	77	84	55	33	68	41	8	11	31	39	32	30	30	18	82	
3	40	6	64	87	30	68	17	87	79	62	81	58	72	43	22	65	88	74	5	25	68	15	76	17	36	58	81	15	19	
10	49	10	9	18	49	36	67	52	11	57	66	60	16	54	27	7	73	10	8	5	57	86	77	7	42	31	19	12	48	
40	66	63	63	56	26	55	63	44	17	62	52	45	33	3	77	82	21	33	57	46	41	21	28	14	69	82	33	6	41	
22	28	61	14	16	9	78	23	47	16	35	63	59	33	4	53	53	85	65	7	81	34	74	23	14	11	27	2	31	63	
20	38	50	35	32	7	21	10	87	51	26	12	48	11	58	58	8	60	63	27	9	6	47	4	78	83	36	58	29	65	
75	38	78	46	84	74	51	83	48	56	43	16	56	24	14	47	15	19	70	74	36	68	39	80	46	51	38	3	9	58	
79	3	14	24	50	61	50	16	32	24	14	62	26	70	65	57	37	11	58	40	56	51	20	56	70	25	21	70	12	41	
79	5	61	47	36	45	88	60	37	12	36	27	50	28	3	80	13	35	13	81	42	34	62	58	46	10	82	55	13	17	
43	78	40	53	54	6	46	30	31	83	59	68	57	46	89	87	20	8	28	82	38	78	29	55	20	26	17	87	50	79	
28	26	70	82	52	64	41	30	35	61	81	20	59	19	6	41	34	21	8	8	82	76	78	43	21	0	70	54	59	25	
50	3	77	41	67	47	35	68	76	34	68	4	83	6	5	29	32	71	8	58	25	88	39	38	25	8	8	27	10	78	
60	31	6	69	2	58	38	40	12	22	14	15	72	75	4	23	29	58	37	17	10	3	63	7	51	69	52	26	49	80	
24	35	73	37	26	54	59	62	75	37	19	24	81	25	85	50	69	85	20	82	35	86	4	20	41	57	20	65	20	59	
54	2	0	36	79	51	18	85	7	39	7	56	21	7	80	11	83	12	53	24	80	86	21	25	24	27	30	58	1	70	
77	86	57	29	50	53	20	55	14	19	80	19	59	35	52	88	28	76	73	83	17	11	76	20	32	88	59	66	72	1	
30	80	11	8	53	71	4	14	26	55	53	55	12	24	45	75	31	74	54	82	48	87	6	80	80	56	21	41	24	15	
9	36	88	78	10	66	81	26	82	79	79	2	54	39	82	84	79	87	34	16	75	64	81	64	7	61	60	19	88	75	
76	72	42	57	40	7	32	61	34	82	23	78	2	76	66	1	65	88	8	30	36	62	65	7	38	76	43	51	18	0	
61	67	15	50	31	77	74	41	5	67	7	35	27	20	81	74	53	88	70	59	55	56	88	75	64	9	72	27	48	10	
1	67	1	42	8	31	13	76	39	22	38	14	15	27	22	64	83	15	57	40	48	73	86	1	2	60	2	31	47	28	
73	19	19	2	63	5	0	50	2	24	84	67	61	63	45	33	39	50	20	42	75	81	83	21	53	33	89	5	80	68	
43	5	25	4	73	25	5	4	82	76	48	78	21	80	63	49	14	33	10	16	15	40	81	9	67	2	55	19	66	63	
2	4	75	84	13	69	76	49	43	2	6	50	30	82	18	36	57	11	65	33	87	16	10	75	14	87	17	2	14	42	
73	6	87	6	53	19	14	20	82	39	67	10	49	12	30	4	19	42	47	20	8	74	0	46	77	20	1	72	41	14	
34	1	0	25	18	37	3	52	61	29	83	87	65	34	43	3	27	30	56	84	34	62	60	47	29	43	70	82	6	89	
69	59	62	10	2	16	55	71	38	58	49	47	59	89	35	55	45	63	64	57	16	25	69	10	19	14	78	35	55	46	
56	26	24	15	19	27	62	25	64	51	87	83	55	23	71	23	10	46	48	4	58	31	16	57	44	63	2	60	37	56	
28	47	53	82	24	38	71	16	12	19	82	14	89	77	38	89	82	40	33	41	74	38	20	68	34	54	3	67	25	53	
35	9	33	2	25	82	44	57	34	65	43	72	48	67	17	12	0	35	47	73	82	52	75	38	51	37	0	70	89	89	
81	72	73	39	68	5	11	50	62	17	47	3	52	61	84	20	49	56	68	81	59	4	39	47	44	86	57	68	82	37	
53	20	59	61	42	23	19	9	20	9	36	54	52	24	65	72	29	48	49	15	18	5	20	37	55	55	63	31	8	44	
11	12	51	52	20	23	19	39	68	43	75	10	43	49	69	40	61	60	33	58	88	86	32	28	88	17	13	76	20	37	
10	41	41	35	47	18	38	51	77	52	53	61	42	47	77	32	17	26	68	68	7	16	2	11	31	16	9	78	30	47	
58	52	63	65	44	47	74	9	15	19	32	35	4	25	69	73	0	36	25	84	23	20	86	5	47	72	8	48	12	77	
38	40	27	37	21	68	69	9	85	5	50	19	11	78	44	60	54	87	57	81	11	13	4	59	4	40	48	32	41	86	
63	67	83	18	42	12	62	38	86	80	56	7	58	18	24	27	87	52	15	47	1	30	35	13	4	38	84	51	37	36	
32	70	19	52	62	56	9	58	81	46	30	33	68	2	62	23	11	70	28	0	0	10	36	34	28	0	43	30	60	77	
5	46	82	47	78	53	60	68	83	55	70	82	77	20	16	54	23	12	73	31	72	15	76	75	44	21	39	27	69	10	
20	7	19	47	25	61	21	85	5	65	28	1	7	49	11	82	8	64	51	60	56	61	57	53	75	7	28	25	17	49	
8	82	43	49	4	89	29	60	44	67	72	84	63	10	15	5	28	88	62	67	20	31	33	38	48	63	54	34	80	61	
57	41	62	49	58	64	12	16	29	30	21	8	11	61	27	53	67	18	20	17	63	79	61	58	87	23	86	69	76	7	
44	29	10	48	5	87	56	25	47	81	60	5	64	55	66	49	35	8	19	23	5	80	56	51	20	15	44	60	15	55	
33	33	77	22	22	9	81	42	63	47	12	22	72	54	17	79	5	13	80	30	79	26	19	35	60	22	68	23	0	85	
65	73	74	62	45	67	31	59	14	48	13	36	42	66	43	10	46	64	48	60	77	18	89	87	2	71	51	70	85	77	
41	69	72	79	27	81	57	79	35	65	24	1	63	83	10	30	67	44	79	39	67	39	79	37	48	38	57	55	55	18	
84	11	88	0	10	30	80	82	61	35	14	80	67	56	26	61	75	41	11	66	76	79	45	86	37	3	49	14	20	70	
21	3	29	33	83	56	73	68	49	82	44	69	46	16	50	17	29	38	5	88	22	20	15	57	63	43	34	61	32	65	
66	63	1	60	11	64	20	15	65	32	28	12	80	36	5	23	61	15	4	73	70	67	22	0	66	62	58	55	11	9	
59	7	53	22	74	68	17	14	41	59	12	29	61	17	62	68	60	45	85	23	67	89	35	43	22	80	81	28	66	73	
71	13	25	27	67	88	41	89	0	15	40	43	74	34	37	62	51	89	87	71	34	48	25	62	1	78	8	60	12	58	
13	14	16	35	30	69	9	34	82	13	2	89	25	22	86	42	61	33	58	23	26	70	45	55	69	66	61	78	40	44	
57	43	34	83	35	79	40	29	55	25	76	9	61	62	39	86	68	21	86	7	6	68	74	73	6	84	15	83	67	29	
55	53	29	85	35	82	36	78	47	30	22	68	68	74	14	4	48	69	79	62	22	56	64	11	84	62	5	76	3	42	
54	25	41	61	46	35	7	48	2	64	1	14	81	41	52	83	66	9	48	83	25	36	85	83	23	2	32	37	78	6	
80	37	37	59	51	62	53	59	57	45	53	73	28	15	30	71	76	13	37	18	20	34	45	26	60	21	72	45	26	24	
36	74	23	53	39	81	15	25	23	68	25	14	14	45	66	10	41	70	57	42	49	71	62	29	29	1	55	82	62	60	
48	54	74	47	46	74	44	69	41	70	36	38	32	86	36	32	23	67	10	88	22	18	79	86	46	26	85	75	35	14	
