13	21	4	31	18	37	28	8	10	36	35	22	18	20	10	34	26	33	26	9	
32	1	39	3	20	8	12	7	29	20	17	37	26	34	39	39	13	11	11	21	
10	14	25	35	14	19	8	10	27	17	11	0	7	5	0	20	35	1	1	10	
9	36	0	7	31	27	8	34	33	20	38	31	11	10	7	25	35	2	10	4	
29	9	14	12	32	16	22	37	6	21	9	0	1	39	39	38	16	5	36	4	
1	28	25	19	0	4	8	11	6	13	13	36	21	11	37	17	39	11	6	1	
15	1	37	11	31	24	7	37	16	21	15	1	16	32	6	5	22	7	33	14	
33	25	4	32	30	28	29	3	0	28	35	30	2	17	20	9	32	35	6	26	
20	5	29	14	20	19	19	9	0	1	22	12	25	9	12	18	21	0	1	7	
23	6	25	29	36	25	25	5	0	21	23	6	39	34	2	5	7	25	27	10	
3	28	3	2	34	26	7	30	6	11	15	32	9	14	36	21	0	21	31	11	
12	17	6	0	6	16	17	36	7	15	11	13	18	21	4	5	25	31	11	2	
27	1	33	33	24	7	17	32	27	9	11	23	38	12	15	2	36	35	23	22	
15	1	6	21	26	17	12	24	16	4	11	16	11	38	36	32	25	14	19	3	
9	32	25	30	27	33	23	1	38	6	32	31	35	34	0	23	30	2	9	7	
4	38	4	36	24	30	4	9	0	6	22	1	5	32	28	2	24	37	17	24	
39	39	0	3	6	14	37	15	11	37	21	30	34	32	17	20	23	28	4	6	
34	19	38	15	11	3	2	9	39	26	34	13	36	33	18	7	14	25	34	0	
12	6	20	17	4	15	14	34	11	22	34	36	1	2	0	9	33	31	21	14	
14	39	36	33	32	39	19	5	38	0	9	15	22	25	12	21	8	14	7	34	
8	6	0	32	26	38	7	18	24	38	2	13	31	29	37	27	24	31	39	35	
18	31	9	0	4	33	7	36	24	17	8	33	36	10	19	5	2	12	31	39	
30	29	21	26	0	18	25	21	7	35	26	4	6	25	27	31	35	20	26	36	
26	29	38	27	24	20	30	39	19	7	5	28	7	8	25	9	11	26	34	28	
10	16	16	4	22	10	29	7	31	29	1	0	32	29	12	36	19	25	39	26	
11	19	12	13	6	35	3	39	30	8	14	3	29	2	20	31	22	22	26	20	
27	15	8	4	0	22	15	15	14	13	24	18	36	29	0	5	32	18	15	14	
35	16	24	31	19	37	3	33	18	27	38	20	11	15	2	20	37	19	18	25	
8	4	22	27	36	33	13	32	0	25	1	12	0	31	12	28	33	5	9	15	
30	2	13	9	36	34	37	21	18	0	9	30	2	10	5	2	29	25	24	28	
3	36	5	28	32	16	31	37	10	6	34	11	30	1	12	39	2	10	19	33	
37	10	8	25	27	35	16	1	21	27	12	35	29	6	38	10	31	8	4	23	
2	20	17	19	6	19	38	28	32	20	8	30	33	28	19	15	13	11	21	30	
30	27	37	33	33	37	9	34	32	34	23	6	14	18	28	18	34	37	24	34	
35	20	34	31	10	27	39	11	4	13	14	20	38	28	15	12	11	19	34	17	
1	26	29	29	26	22	21	36	22	26	28	5	6	22	27	16	35	10	15	26	
21	31	8	24	16	34	7	21	32	30	37	1	29	21	0	25	17	2	16	37	
15	22	16	35	14	30	17	37	10	21	24	16	12	11	15	4	31	2	0	35	
3	32	14	16	32	38	30	38	0	36	35	2	39	30	8	6	38	31	29	10	
34	33	12	25	12	38	30	37	1	23	7	8	34	22	32	25	6	9	11	15	
18	22	0	37	19	37	22	18	27	31	6	36	39	9	9	32	25	29	34	24	
17	29	6	9	30	36	32	24	11	27	1	33	36	29	13	4	31	32	32	4	
32	17	15	21	13	26	11	2	8	2	39	0	3	9	27	18	29	14	34	33	
34	24	38	24	34	13	28	34	16	10	25	8	10	8	11	11	32	23	4	34	
5	18	17	9	3	6	26	30	11	24	18	1	17	2	13	23	22	10	9	35	
32	24	29	26	4	25	31	17	28	5	2	13	11	1	28	39	28	9	29	18	
19	30	27	34	11	0	27	11	23	8	34	3	4	29	1	29	35	17	39	27	
29	6	32	7	31	19	19	22	4	21	26	2	2	20	10	18	12	11	18	8	
15	19	33	38	33	21	8	6	19	34	6	13	15	33	10	35	20	35	3	26	
38	7	20	17	35	37	19	36	24	25	24	9	18	31	35	25	25	37	14	9	
7	17	26	12	38	23	13	7	15	7	16	0	22	10	7	4	35	31	26	28	
28	6	1	19	13	15	4	6	26	0	24	25	11	26	29	34	6	15	20	4	
3	26	22	35	8	18	16	38	21	36	35	6	10	12	7	33	20	33	0	11	
30	34	0	19	36	1	20	13	3	18	19	25	5	7	25	39	0	20	10	20	
22	26	1	22	7	18	16	17	34	23	26	27	19	0	4	2	6	17	27	32	
25	22	15	0	32	11	36	16	10	19	25	26	9	35	33	17	23	33	7	36	
3	30	7	10	3	30	32	3	12	8	21	7	29	30	11	21	1	3	28	2	
2	27	1	12	11	36	31	1	22	15	17	17	29	19	3	13	4	6	6	18	
2	17	39	14	33	15	27	6	35	25	13	1	20	17	31	37	7	25	7	12	
9	32	0	10	25	24	34	38	25	15	20	27	22	23	22	9	26	4	27	29	
35	18	3	2	21	1	38	34	26	30	20	5	2	31	34	28	13	2	0	35	
