2	13	14	9	7	2	15	10	7	8	9	7	10	6	15	14	1	4	12	19	8	18	17	16	
5	4	15	3	6	0	0	3	5	6	2	0	17	11	15	0	1	0	5	14	13	19	13	1	
13	6	12	18	2	8	18	11	4	0	15	2	14	15	17	14	18	6	7	16	4	14	7	9	
18	13	6	12	11	14	10	0	12	1	11	9	8	12	11	16	12	14	11	12	19	7	10	11	
8	9	8	18	6	14	17	18	2	10	14	4	3	16	5	0	7	0	12	19	18	17	11	14	
0	14	3	11	5	19	8	11	0	6	19	5	14	3	17	3	0	6	3	7	11	0	2	1	
17	5	8	8	4	4	6	14	1	16	2	10	19	8	5	13	6	15	14	13	11	6	17	11	
8	15	6	7	14	2	2	6	11	7	7	4	19	19	9	16	2	12	2	17	15	13	7	10	
5	11	18	2	15	6	15	11	15	15	3	14	4	15	11	12	12	5	13	11	9	18	19	3	
8	2	1	16	16	14	14	10	17	1	10	17	9	4	6	3	8	11	9	18	4	2	11	7	
13	12	6	5	15	12	0	12	6	18	4	7	6	4	17	5	3	10	0	0	8	7	6	14	
16	15	9	17	8	11	10	18	13	5	1	7	17	9	1	19	9	19	10	15	13	6	0	6	
7	10	2	9	10	16	8	9	3	8	8	10	7	19	2	18	17	18	3	8	12	18	17	19	
16	7	17	2	5	17	3	10	8	6	1	10	18	18	19	19	0	0	11	14	17	18	17	3	
4	12	0	19	18	6	12	13	16	4	15	18	2	12	18	8	14	4	13	1	12	17	7	10	
0	3	9	15	18	19	14	4	11	3	16	7	16	1	2	12	8	12	1	18	16	8	18	9	
10	17	10	9	0	18	13	15	14	3	12	10	18	10	2	6	13	15	19	13	3	12	4	6	
5	17	15	10	3	3	6	13	16	0	3	7	18	12	11	1	3	19	18	16	5	3	16	1	
3	8	8	6	13	11	17	0	15	8	17	10	11	0	19	11	3	11	13	1	9	3	4	14	
2	3	17	8	19	11	12	8	9	13	0	7	7	4	5	9	17	9	2	7	4	12	3	4	
12	17	12	13	3	16	17	15	0	14	10	10	4	6	14	8	2	0	19	10	10	13	4	3	
15	16	3	19	10	14	16	4	2	5	4	9	15	11	8	12	8	13	4	14	0	19	2	8	
6	16	0	9	0	18	11	19	10	17	16	12	9	3	5	15	6	13	5	3	17	18	11	8	
3	17	8	0	12	14	5	14	2	12	9	15	15	6	1	13	2	16	13	13	5	1	19	16	
3	11	10	14	17	11	17	12	0	16	7	17	10	7	14	11	10	17	4	16	18	13	6	4	
14	0	2	2	2	11	9	7	18	13	0	7	12	6	11	7	4	3	14	15	11	3	10	18	
5	8	6	4	8	4	11	13	18	3	14	11	12	18	3	10	3	17	3	12	12	14	11	2	
14	14	8	16	7	2	4	1	16	7	3	12	15	10	15	7	0	11	18	9	0	5	1	19	
13	4	10	6	18	15	4	17	7	5	16	15	19	7	12	9	14	11	14	18	17	12	10	11	
5	6	6	10	12	17	16	6	0	2	3	10	10	2	14	12	7	16	1	12	1	14	18	1	
0	4	9	12	16	9	1	9	8	6	9	4	13	13	11	5	17	3	4	15	0	6	18	10	
1	15	16	7	2	4	18	7	17	14	18	9	11	13	2	0	18	16	17	6	16	5	6	10	
4	11	10	5	4	0	11	3	17	1	5	1	3	4	1	16	2	16	10	1	2	5	15	9	
14	9	4	19	3	10	9	5	8	1	13	16	19	11	5	1	8	12	15	16	18	2	10	3	
10	4	8	12	16	0	8	12	1	15	15	10	0	7	9	4	17	19	0	0	7	7	16	18	
18	11	16	10	12	3	2	10	6	13	14	15	3	19	15	1	14	14	14	16	9	17	13	13	
4	11	1	10	5	1	5	3	2	1	2	14	14	18	19	18	5	14	18	12	6	5	6	11	
15	16	8	18	3	11	13	4	9	7	6	16	14	16	19	3	17	3	18	16	18	4	3	10	
12	16	17	5	17	18	16	2	12	12	3	13	3	13	10	18	15	13	12	4	4	9	14	19	
14	17	8	4	6	0	13	7	7	16	11	5	0	15	6	4	18	6	5	12	8	0	7	19	
3	3	19	9	5	15	11	11	13	7	11	2	8	3	2	13	9	0	7	12	19	19	6	3	
