87	102	145	141	132	114	75	68	41	33	3	94	7	134	126	62	96	87	
15	81	88	84	34	91	35	103	51	53	16	99	118	66	55	9	17	120	
55	132	104	123	56	24	18	26	110	51	49	17	0	51	112	25	111	79	
84	106	10	62	135	66	49	94	92	54	56	33	121	16	80	58	13	62	
62	91	15	34	19	123	68	15	125	111	78	52	74	13	90	64	128	0	
137	87	129	4	21	98	76	51	11	9	2	96	122	145	104	140	147	4	
126	31	117	35	129	41	11	64	78	86	63	128	102	93	50	117	55	9	
43	147	77	143	121	33	41	112	99	127	59	71	119	130	122	89	38	38	
128	21	115	31	37	19	11	21	146	124	48	47	75	126	144	31	4	127	
61	145	26	23	48	5	96	45	19	4	15	104	122	97	47	51	56	32	
40	81	100	89	141	20	31	126	100	0	96	61	104	136	137	123	41	109	
117	23	102	58	45	136	33	36	18	133	124	146	97	132	43	64	23	71	
127	35	26	129	62	39	57	16	91	22	1	85	140	123	118	96	104	20	
114	53	96	59	56	34	26	125	39	94	31	19	53	87	103	72	25	117	
109	19	121	2	7	63	88	52	6	138	100	7	113	103	76	94	94	31	
143	33	74	34	144	92	76	143	62	44	67	107	140	139	55	132	61	62	
35	75	91	6	23	96	79	17	144	129	123	77	113	82	14	44	39	123	
59	97	65	19	68	1	144	59	100	50	22	129	146	115	62	128	91	131	
81	130	44	96	126	30	100	6	43	81	59	124	85	32	136	78	108	106	
36	136	10	94	45	92	76	125	89	142	31	8	105	9	10	8	92	122	
133	104	88	57	62	84	8	64	38	98	93	63	37	97	89	114	52	131	
123	63	109	68	114	95	102	29	86	117	133	74	13	141	96	138	75	59	
104	136	92	148	147	73	11	18	32	69	138	74	81	47	140	36	19	10	
73	100	110	42	70	88	107	132	48	66	1	28	81	140	77	12	102	43	
81	54	144	147	113	34	91	61	78	68	60	71	136	3	110	99	69	71	
147	147	20	34	31	115	111	18	147	24	33	22	80	60	9	131	101	38	
88	113	28	8	142	104	95	33	134	88	38	79	72	58	16	50	148	15	
122	92	26	85	132	4	102	99	126	138	124	38	98	106	127	41	56	45	
111	98	118	38	105	12	10	130	97	45	26	7	51	139	65	70	101	143	
86	52	84	41	9	103	40	34	15	112	32	36	130	142	53	38	45	62	
10	137	145	102	101	84	141	70	131	19	50	102	29	37	15	106	98	48	
0	56	37	132	140	82	91	37	141	112	133	40	144	41	145	23	20	134	
83	64	137	88	83	130	129	43	67	112	134	2	134	17	26	32	36	48	
35	15	34	112	139	138	9	64	131	67	33	122	41	85	16	131	42	132	
56	123	1	100	123	82	5	75	77	111	75	79	62	15	91	88	5	54	
20	125	9	128	119	123	29	119	48	92	52	57	135	47	14	19	51	85	
3	1	18	9	118	66	47	24	96	109	135	20	111	59	87	88	10	18	
71	84	101	43	87	74	117	112	103	98	86	54	96	107	42	4	98	16	
47	93	123	42	106	83	90	27	54	79	128	121	138	130	45	86	84	94	
129	109	52	44	8	27	44	109	102	104	71	89	120	139	29	31	102	125	
69	81	56	13	67	95	128	140	138	135	38	123	49	66	41	7	110	46	
47	92	3	89	141	27	58	22	38	50	17	59	108	60	130	138	60	100	
36	87	38	20	8	107	108	105	42	92	16	73	41	142	44	135	3	133	
