6	26	95	22	27	75	66	53	67	5	86	83	69	78	53	84	5	88	31	83	21	46	76	68	55	4	36	23	60	42	13	30	89	62	7	95	7	3	72	93	94	89	35	41	39	6	95	94	
58	34	28	86	55	48	46	31	45	10	35	38	1	52	96	62	93	32	80	89	97	33	39	45	92	57	81	30	23	29	43	40	87	14	41	28	9	34	11	48	75	38	98	37	27	74	62	16	
28	53	49	81	28	96	23	20	84	38	22	49	83	95	93	87	47	34	4	2	71	32	68	67	50	87	77	53	98	32	5	9	19	82	75	1	14	0	25	83	95	6	68	14	46	11	82	87	
83	71	79	54	21	12	15	79	14	67	59	80	90	95	92	49	64	1	11	59	62	14	20	42	76	86	72	29	48	69	65	80	10	61	84	54	4	88	74	49	53	60	69	72	82	86	84	47	
99	31	26	34	16	25	28	60	47	34	81	75	33	26	26	53	37	24	95	5	14	96	21	29	62	80	0	36	20	73	52	93	43	4	75	66	56	98	1	42	57	25	21	10	81	33	66	63	
60	8	6	48	37	71	58	22	91	13	73	52	19	85	28	20	29	44	12	36	6	48	32	63	18	85	42	16	40	95	59	78	70	41	79	33	75	17	39	85	20	68	63	40	40	81	48	87	
20	62	35	38	69	40	28	25	93	65	1	92	6	27	7	65	95	58	71	97	49	27	96	81	30	97	72	45	57	74	45	28	17	32	50	38	67	85	26	81	19	96	18	82	43	25	6	57	
72	89	50	65	28	68	83	16	69	8	26	9	7	43	66	36	39	45	41	26	99	39	0	18	27	80	0	18	95	50	38	22	65	85	80	92	26	89	34	19	92	45	86	86	70	1	47	70	
67	64	34	0	61	11	80	86	6	67	53	36	63	65	17	43	89	17	56	74	49	0	8	81	39	72	15	91	30	3	65	83	84	66	47	11	85	24	97	86	47	90	99	25	45	87	26	13	
36	42	47	91	83	0	77	16	31	8	64	56	79	57	38	75	39	20	49	63	32	71	44	73	95	77	99	63	58	7	70	95	84	73	93	23	50	47	46	25	60	83	64	17	85	40	68	25	
71	48	40	93	60	39	76	97	42	80	16	28	78	49	19	42	78	80	70	99	97	65	46	59	41	40	32	86	21	35	19	86	97	83	48	55	54	28	1	67	91	31	80	19	37	14	23	18	
36	12	86	21	63	46	81	63	19	98	4	48	93	10	33	22	41	13	60	75	70	79	35	10	46	98	61	8	60	66	6	55	18	13	16	7	62	51	39	21	21	70	52	2	38	94	52	52	
2	14	37	68	32	99	38	88	16	41	40	7	57	95	86	92	91	39	69	36	5	88	9	93	76	96	91	79	69	51	63	77	64	66	51	74	16	52	99	26	81	4	65	61	54	67	89	54	
44	21	69	32	92	31	10	94	35	65	90	53	32	95	47	37	84	16	78	1	71	39	78	83	80	10	32	8	65	62	6	20	36	89	44	71	86	59	78	13	91	23	33	71	25	77	59	75	
62	26	18	41	35	0	89	96	17	41	48	14	19	47	77	23	76	38	29	25	5	45	14	37	63	59	12	82	66	34	3	96	9	51	42	51	85	46	22	13	33	27	2	78	33	30	55	43	
16	47	1	63	48	19	37	3	24	64	75	84	36	20	3	84	93	22	39	41	74	77	36	41	44	13	78	4	57	56	43	80	63	62	0	4	47	61	55	3	94	52	25	27	4	59	56	6	
28	4	97	89	64	17	11	58	49	35	36	4	13	36	5	17	85	1	86	27	46	26	40	24	84	18	59	22	33	9	32	75	35	54	48	2	97	43	40	97	1	30	71	62	15	6	78	74	
67	93	63	78	1	82	9	99	38	73	89	60	34	29	58	58	9	94	83	20	47	31	85	37	55	48	85	79	1	31	80	45	56	94	98	81	64	73	25	72	97	31	95	47	81	20	3	93	
7	61	83	59	71	80	48	0	72	6	60	73	58	86	26	64	78	12	20	50	91	72	48	86	1	42	88	31	28	48	97	77	80	7	20	32	6	82	29	86	99	35	24	78	21	72	49	28	
70	39	41	62	74	95	47	46	97	51	29	58	45	33	39	1	29	12	86	85	75	46	87	53	5	81	79	81	60	84	19	36	42	27	65	22	57	33	29	76	21	3	22	18	3	57	97	31	
69	23	69	92	13	31	50	99	5	31	11	10	58	31	22	29	18	60	83	81	68	90	18	83	54	0	99	17	61	63	64	84	62	94	24	72	30	21	18	52	72	4	66	21	90	32	85	7	
89	93	92	71	43	59	2	44	68	27	48	45	89	44	18	72	80	44	0	9	88	69	3	30	50	30	22	75	58	59	57	93	44	24	97	68	6	91	30	3	42	84	24	57	10	46	25	62	
36	80	73	63	97	90	46	19	6	67	55	10	89	53	52	24	82	83	39	84	97	46	77	55	9	10	96	65	28	53	77	31	6	80	35	10	84	49	42	59	12	72	71	28	63	33	29	40	
88	8	33	87	61	57	63	17	96	43	84	38	11	32	69	66	85	90	6	75	97	13	0	91	97	62	60	44	20	32	36	92	33	29	85	50	76	59	45	5	24	50	88	2	67	19	77	24	
29	99	1	72	71	59	66	83	61	71	87	70	64	36	14	61	58	7	93	72	91	33	85	42	52	2	91	19	39	51	65	81	83	91	97	55	4	29	18	51	3	52	0	14	67	88	26	91	
