73	43	9	1	49	26	34	39	43	1	78	50	
42	39	23	40	81	68	79	55	17	43	75	17	
24	73	65	85	89	24	0	46	59	18	18	7	
35	57	64	65	26	34	67	42	21	55	66	83	
81	62	19	7	69	50	15	70	16	87	45	88	
78	55	39	13	46	43	74	67	38	55	23	56	
52	84	82	15	66	18	17	18	23	38	39	7	
75	29	70	63	81	72	8	32	67	74	61	10	
66	18	27	12	75	45	73	13	34	87	82	23	
53	51	54	42	36	16	49	88	25	73	84	39	
22	39	41	56	88	56	23	28	24	78	35	76	
9	4	39	56	33	56	81	74	35	51	74	25	
9	69	67	38	13	84	84	86	75	63	40	36	
75	78	63	70	11	22	59	35	80	37	68	20	
44	65	33	81	83	60	74	88	32	55	29	37	
31	69	53	35	41	8	25	14	6	35	44	4	
40	36	70	13	0	24	2	30	38	12	21	35	
13	73	58	9	60	74	25	9	43	83	13	3	
20	60	41	52	73	30	72	14	34	61	58	64	
7	28	55	44	64	53	25	7	33	53	18	79	
64	38	70	67	67	72	75	64	13	14	45	36	
41	53	79	64	12	14	81	63	1	4	82	57	
39	42	29	25	87	55	63	23	73	55	5	3	
31	45	27	2	4	89	77	65	75	13	10	27	
49	33	45	51	60	74	66	8	58	12	8	55	
20	18	75	57	15	27	89	57	83	47	26	53	
5	89	79	37	85	68	74	11	75	59	73	30	
14	84	83	35	22	37	41	9	4	58	21	67	
31	24	47	6	29	69	65	67	21	17	71	34	
44	80	28	14	82	16	66	86	50	41	50	49	
67	53	20	52	88	84	20	5	39	55	42	2	
79	80	66	0	16	29	12	41	20	41	26	9	
51	5	46	65	41	17	11	59	67	66	73	10	
62	71	80	65	84	72	54	17	15	34	12	86	
74	36	65	76	4	89	70	73	4	67	23	69	
7	17	5	1	35	6	52	35	41	54	70	81	
19	75	76	6	17	76	5	22	2	24	22	72	
78	69	41	83	84	29	56	26	67	88	67	38	
71	62	52	26	83	40	76	9	57	33	62	41	
50	26	35	51	43	70	89	35	15	57	74	82	
5	73	19	33	89	82	67	13	76	34	82	27	
84	54	87	81	77	6	32	44	46	66	67	53	
7	81	87	75	9	50	83	88	42	70	68	11	
8	82	57	76	69	8	54	82	8	36	0	43	
19	55	69	42	54	32	16	65	20	59	38	15	
14	23	57	15	27	22	60	10	46	13	48	12	
14	54	34	71	87	9	1	79	73	3	27	15	
25	80	3	61	55	70	76	29	4	32	17	70	
37	23	50	6	58	2	1	70	84	10	57	85	
39	8	4	46	64	1	15	49	71	1	10	38	
62	89	38	53	3	30	35	57	39	53	2	87	
52	28	54	26	75	27	28	57	64	6	12	83	
66	56	40	53	55	7	43	53	13	32	75	5	
3	42	77	88	58	72	52	42	16	64	6	5	
34	17	55	68	40	12	52	4	83	28	54	37	
16	77	41	63	23	2	5	21	78	25	70	43	
75	71	13	33	86	65	31	12	4	23	58	0	
65	34	60	80	64	23	33	25	48	88	65	26	
28	77	18	50	30	78	3	15	1	58	15	8	
44	63	40	42	22	64	71	58	23	77	81	9	
23	62	21	31	29	86	86	2	3	79	61	85	
61	86	60	7	11	5	55	84	10	65	82	30	
49	83	23	47	52	38	6	32	15	18	19	25	
87	12	20	85	48	70	12	54	54	18	53	50	
40	34	62	87	74	82	75	64	24	29	75	25	
16	54	17	62	88	12	17	39	60	28	73	26	
64	43	16	61	69	36	59	14	23	19	12	53	
10	26	70	64	44	18	19	24	8	88	34	58	
82	88	83	55	43	43	58	85	1	59	42	50	
49	75	29	10	59	43	25	8	38	4	1	23	
59	17	67	67	32	82	58	24	68	25	87	74	
37	51	87	87	62	72	42	47	78	48	0	11	
7	86	23	5	42	64	0	54	18	4	28	82	
67	39	30	15	64	75	79	35	80	86	89	70	
20	26	62	65	39	51	46	69	17	18	5	45	
61	59	43	62	9	69	55	17	25	52	86	10	
88	78	27	5	71	75	87	11	68	43	78	38	
22	77	51	65	74	75	27	71	83	67	56	60	
35	81	28	16	1	30	69	63	67	48	86	65	
43	22	31	45	63	1	35	44	18	66	40	34	
80	9	21	49	41	88	77	42	78	52	23	39	
71	62	26	3	78	53	80	38	58	67	40	40	
46	27	63	88	52	66	24	48	86	16	85	18	
7	15	59	65	35	75	28	27	64	39	73	9	
70	61	19	59	39	57	14	31	42	11	80	84	
18	86	57	30	0	43	29	15	82	18	65	50	
32	15	78	2	87	84	76	71	14	75	12	49	
78	15	2	71	60	53	78	70	48	45	33	53	
23	30	85	0	24	74	33	81	70	9	34	64	
4	17	64	46	8	39	13	45	65	65	15	11	
9	27	89	53	28	25	40	65	45	47	86	61	
6	49	51	54	17	54	28	26	77	72	84	55	
37	75	34	73	33	41	13	59	13	77	67	7	
65	17	86	31	58	86	16	27	39	85	79	18	
30	52	54	21	38	15	34	6	81	60	89	87	
38	73	18	82	35	50	67	64	64	66	37	56	
17	53	27	55	55	5	45	7	44	32	50	31	
73	21	18	22	25	22	76	4	87	52	3	47	
43	28	49	49	80	47	50	40	13	29	50	72	
86	41	87	35	48	62	83	57	67	70	69	42	
