133	86	93	102	55	52	126	13	106	55	
83	138	68	17	121	111	47	79	8	136	
12	112	103	58	83	62	67	107	31	73	
73	30	86	116	54	94	70	33	19	67	
52	33	66	56	129	42	112	72	23	139	
43	136	58	130	56	114	92	88	49	125	
52	33	17	84	122	50	124	116	84	93	
10	122	73	116	73	10	19	59	70	83	
64	132	18	64	93	81	106	77	134	17	
25	39	123	39	82	105	101	96	85	116	
94	23	79	138	13	16	134	31	37	75	
52	108	53	20	61	61	94	12	8	135	
138	21	65	11	4	86	21	110	90	14	
71	130	6	124	91	18	62	41	106	131	
55	98	117	70	75	117	71	50	95	55	
22	6	124	76	50	104	124	110	116	139	
109	135	78	35	5	47	33	19	73	23	
49	46	92	105	73	139	85	4	73	131	
90	95	80	29	63	46	64	54	69	112	
122	19	35	105	0	113	68	120	85	0	
9	90	119	4	34	15	68	136	20	101	
11	120	53	79	23	106	124	22	30	89	
88	44	12	48	48	6	95	54	73	72	
15	22	72	45	127	117	80	133	11	48	
47	12	85	101	53	79	106	42	58	74	
22	38	118	53	52	7	47	92	29	21	
78	111	56	29	26	82	7	18	126	70	
128	57	7	25	135	31	47	0	13	73	
1	40	110	59	29	67	29	31	45	113	
88	118	93	87	27	1	48	3	69	57	
36	126	90	115	56	44	100	136	45	98	
41	98	122	5	59	86	102	134	123	86	
121	78	116	133	4	6	32	37	97	29	
65	20	50	46	114	28	57	128	113	2	
17	132	53	138	61	122	117	126	62	55	
139	60	12	95	3	102	29	84	8	53	
106	121	33	54	91	41	38	90	70	71	
90	4	126	54	33	49	77	21	11	47	
91	2	8	47	25	32	59	102	78	64	
17	19	15	9	15	71	113	36	113	110	
32	59	87	122	3	4	45	126	111	135	
130	133	67	38	82	101	1	37	5	19	
18	82	5	93	87	118	112	72	11	78	
135	79	99	74	51	76	98	127	30	46	
130	28	82	77	0	95	69	7	91	46	
133	15	96	123	96	108	118	16	64	43	
21	79	116	66	138	134	35	39	13	131	
111	128	107	112	135	89	16	10	2	136	
24	47	71	97	66	26	84	103	102	139	
115	6	56	132	93	35	57	100	47	17	
34	3	8	50	102	43	85	51	45	2	
44	73	95	136	134	69	7	64	131	51	
120	122	80	4	102	56	9	61	97	88	
107	132	72	7	70	138	34	100	23	90	
117	139	55	118	41	56	59	44	134	47	
57	128	82	103	49	21	44	108	133	33	
130	54	27	91	119	100	112	8	135	41	
62	74	131	110	51	126	89	133	86	40	
125	114	76	85	116	49	112	65	74	79	
103	63	111	18	78	114	22	137	30	5	
14	84	34	55	98	50	81	94	8	73	
43	139	75	99	70	95	125	67	62	12	
52	38	5	126	65	16	93	113	139	134	
112	81	46	15	83	129	24	120	40	97	
10	65	81	35	16	62	134	90	58	106	
18	122	50	40	119	31	111	48	12	124	
61	4	63	120	60	88	76	33	128	15	
1	113	70	93	102	82	32	59	20	137	
10	119	126	20	77	49	127	113	122	117	
27	8	84	86	2	1	32	112	123	69	
2	72	34	120	132	77	24	111	63	83	
33	121	26	28	12	0	135	66	51	62	
129	25	89	15	8	117	17	84	25	31	
126	35	45	9	109	102	110	53	40	126	
25	18	124	82	85	66	21	116	69	86	
126	8	13	122	96	139	81	36	89	115	
76	82	86	102	107	109	62	4	65	137	
25	16	90	42	1	119	8	105	116	71	
116	5	56	23	106	25	34	67	115	31	
108	12	20	118	42	78	7	129	47	118	
31	133	121	47	42	78	16	69	119	109	
95	102	122	124	134	44	139	43	128	67	
10	67	29	20	129	102	20	84	77	80	
34	40	52	81	50	129	65	67	126	71	
5	70	132	135	116	110	111	111	8	102	
69	43	86	132	29	58	49	117	22	106	
121	83	78	65	39	132	77	61	71	63	
58	15	34	115	64	27	31	120	99	116	
62	99	107	52	67	72	62	111	17	99	
85	34	67	64	67	114	29	96	82	139	
64	66	124	127	115	38	59	43	121	1	
123	50	29	126	72	124	113	81	55	75	
0	115	56	38	35	46	18	115	61	23	
16	127	116	10	41	35	136	85	61	62	
68	82	53	78	0	91	33	93	100	139	
108	93	15	39	109	32	137	62	98	39	
92	59	21	117	131	6	60	72	44	42	
5	104	50	126	99	71	115	46	29	74	
124	37	137	99	113	73	90	35	73	67	
79	35	93	22	123	90	61	119	89	66	
