113	173	144	43	125	65	20	157	38	10	77	139	161	94	33	19	
101	75	125	163	152	41	113	64	21	100	162	124	56	118	149	131	
149	62	159	54	57	40	171	177	87	95	149	96	143	146	127	17	
84	51	157	68	2	123	51	175	88	103	60	85	13	51	124	83	
84	121	14	3	178	161	86	157	122	69	106	7	43	136	76	168	
38	100	101	105	160	112	93	56	132	176	110	23	70	76	7	74	
151	136	110	52	89	3	115	40	48	158	161	24	11	121	155	91	
88	97	91	72	86	128	174	51	125	142	171	96	25	129	155	7	
12	93	75	127	99	83	154	83	104	27	45	99	41	20	104	19	
101	127	71	91	88	164	55	171	90	171	136	18	52	7	122	35	
39	94	89	171	130	60	177	166	30	8	112	84	111	173	151	48	
126	150	175	121	158	80	50	121	111	154	9	136	173	57	155	81	
91	133	83	44	52	82	162	68	64	21	84	8	139	133	177	45	
131	87	65	86	56	166	129	61	125	26	150	14	171	56	95	11	
157	83	14	154	87	114	68	134	103	134	82	9	11	175	13	131	
63	0	79	39	98	144	108	118	48	28	90	160	65	167	64	138	
32	132	62	106	105	15	32	20	74	47	130	73	130	92	147	118	
66	106	34	150	84	42	57	178	151	161	158	99	141	38	73	121	
109	60	27	138	96	150	132	13	19	136	28	55	15	111	168	38	
85	12	33	157	142	47	42	110	98	147	135	129	118	58	42	14	
104	82	45	72	94	146	162	82	30	136	175	155	88	177	131	66	
92	40	75	67	168	83	66	84	138	3	170	124	87	102	92	74	
123	40	59	11	45	115	134	51	12	161	88	62	108	149	4	66	
90	29	95	172	54	78	121	24	107	117	162	83	22	111	129	73	
165	77	46	95	31	178	110	75	52	21	127	134	51	115	132	80	
92	146	166	132	4	90	60	22	92	101	121	66	158	32	28	6	
100	0	30	60	151	7	140	39	11	10	124	81	112	100	109	118	
133	85	156	39	19	8	6	109	102	39	28	141	95	49	38	38	
172	107	47	158	8	168	27	43	125	66	163	53	89	171	117	132	
110	108	148	45	81	2	23	106	0	122	95	160	141	155	157	84	
58	92	80	10	80	95	47	150	165	42	35	64	145	97	24	116	
110	116	40	107	131	51	68	165	11	156	122	52	35	81	60	149	
130	100	83	99	2	64	45	169	147	98	133	69	160	149	96	64	
2	58	146	0	153	56	96	105	158	3	113	63	15	120	43	177	
51	115	110	44	58	30	112	32	12	142	161	148	138	39	51	148	
89	128	147	15	124	128	171	39	70	129	11	55	164	167	46	111	
118	149	62	35	96	37	108	106	0	70	87	94	7	132	148	9	
64	79	91	46	122	115	37	67	79	124	53	135	174	95	58	13	
82	34	150	35	103	150	154	120	2	178	42	69	75	51	104	103	
35	115	17	77	0	102	51	4	167	138	159	83	117	67	178	0	
127	42	124	45	93	84	37	109	175	10	123	11	54	16	134	118	
1	27	130	114	87	21	88	55	9	101	48	123	33	75	107	15	
31	153	150	39	97	163	1	51	110	157	170	179	124	148	14	5	
174	93	147	138	109	26	116	159	139	90	170	44	42	140	87	52	
79	70	85	63	39	16	170	100	152	153	159	5	9	55	44	117	
131	108	121	162	28	16	111	150	137	1	59	176	41	169	152	140	
102	51	77	127	107	119	145	36	56	8	146	53	57	168	132	22	
16	7	47	177	66	136	66	25	124	46	160	37	104	42	121	14	
1	139	117	33	21	46	32	136	103	7	126	91	28	19	31	175	
116	112	147	83	157	52	84	39	92	104	49	158	168	176	115	107	
15	137	50	24	9	144	166	12	72	83	160	164	119	141	92	145	
171	81	51	48	23	107	37	170	132	1	145	63	177	2	125	23	
166	170	77	160	11	22	64	12	76	94	60	150	0	37	56	171	
174	7	101	48	18	130	46	139	65	100	85	28	59	13	75	49	
134	130	171	82	107	18	96	75	131	49	114	111	148	3	10	135	
45	70	1	148	97	92	34	65	98	96	165	41	163	96	97	102	
148	53	71	116	170	127	45	174	91	148	133	118	51	104	154	106	
55	14	89	90	39	102	9	70	36	167	17	151	107	76	4	114	
3	144	27	104	46	34	91	52	27	179	6	131	154	139	156	35	
5	167	143	92	50	39	108	87	82	51	73	49	0	120	15	148	
4	164	105	105	104	154	15	146	109	125	137	78	55	113	48	160	
90	177	28	73	153	99	157	91	117	5	24	14	67	136	110	45	
107	72	79	31	12	140	136	132	165	176	178	8	91	177	67	2	
39	136	8	85	123	47	110	108	56	77	52	144	22	89	145	61	
115	91	45	30	119	15	22	113	88	171	121	159	43	119	0	160	
171	120	63	136	98	150	47	59	148	11	47	95	70	102	65	135	
132	77	41	82	43	171	61	62	10	17	9	157	141	160	28	35	
135	128	112	27	41	85	94	115	36	51	113	57	56	72	105	128	
164	145	53	84	121	25	30	43	46	116	87	153	111	51	169	115	
102	18	41	40	172	155	101	101	1	137	16	75	2	10	61	176	
128	137	158	18	34	64	88	52	13	150	79	167	63	157	117	128	
57	36	136	169	79	24	23	81	38	177	138	126	150	32	66	138	
126	127	68	82	164	65	163	128	126	48	113	39	127	117	91	9	
28	163	49	157	122	153	109	22	116	74	96	29	162	47	99	39	
66	8	115	171	60	23	136	131	130	34	137	149	25	132	32	35	
50	64	94	8	33	93	109	105	171	66	54	151	124	62	80	62	
31	100	155	169	63	138	166	75	28	12	154	2	139	141	111	137	
179	21	113	6	64	165	85	74	70	163	52	167	115	174	157	105	
110	75	139	68	143	47	121	146	117	106	57	40	179	28	76	132	
4	19	175	59	23	96	1	140	13	167	21	46	2	110	167	30	
142	177	100	61	154	6	21	24	96	68	126	173	15	62	95	168	
109	14	20	135	90	6	147	108	177	44	91	29	59	6	113	29	
12	162	130	154	18	89	103	131	114	70	144	168	114	94	121	16	
129	98	176	15	137	60	153	22	30	55	104	81	13	171	171	67	
112	46	132	21	101	114	14	57	114	135	89	173	124	156	165	137	
45	54	7	106	136	170	50	33	47	64	120	96	131	120	154	88	
37	65	8	13	122	137	54	58	57	105	19	77	136	177	95	15	
76	64	72	44	15	90	82	78	169	159	33	84	3	82	165	64	
51	178	48	146	156	65	128	44	47	94	79	122	84	85	139	37	
82	162	8	97	70	110	130	5	19	76	113	16	140	172	44	134	
139	123	141	176	33	122	98	25	67	148	137	82	47	90	10	8	
137	126	55	145	25	174	61	45	78	167	2	64	46	86	35	119	
108	114	90	87	136	145	147	45	137	25	176	43	29	179	175	100	
166	10	100	112	164	65	135	71	13	8	173	177	8	37	163	2	
155	173	133	52	172	17	60	134	130	58	126	35	78	1	155	52	
76	20	41	47	112	51	149	71	1	70	177	61	124	177	59	72	
88	42	120	25	123	38	43	117	114	167	173	13	85	14	124	41	
17	118	148	141	11	125	178	124	1	7	169	50	69	156	43	153	
74	154	168	56	24	145	151	157	16	96	166	41	56	9	132	59	
29	5	2	38	110	114	106	83	114	101	44	87	31	132	12	5	
