0	29	33	27	25	0	22	21	34	24	24	1	30	49	32	10	9	32	41	17	39	19	10	33	18	23	47	49	
1	42	25	21	14	39	41	20	45	16	36	22	15	30	47	0	36	11	31	36	21	37	1	4	27	47	41	41	
7	7	49	1	49	5	16	14	39	42	22	43	23	20	7	35	48	6	8	17	0	31	26	19	18	49	10	18	
42	23	14	35	37	22	13	1	44	24	36	23	16	20	18	18	8	36	7	39	38	4	42	48	21	32	25	22	
49	26	44	41	6	21	37	37	7	45	29	35	30	48	19	14	36	39	28	48	24	26	25	1	30	46	2	26	
17	11	48	14	18	8	18	39	8	4	21	40	6	35	15	27	47	24	6	46	26	29	34	26	14	24	5	42	
43	12	19	30	44	40	42	34	30	1	37	6	29	38	37	37	40	16	23	47	43	34	28	34	29	12	8	2	
6	4	13	30	44	33	8	43	10	2	48	36	21	39	46	27	9	30	42	21	12	37	12	31	34	21	31	1	
23	3	29	24	44	19	41	46	8	23	9	1	42	13	22	20	14	9	40	26	42	29	45	49	18	26	23	2	
28	20	39	35	28	30	43	30	42	41	45	43	24	46	9	30	22	24	7	10	27	23	46	45	34	46	12	27	
31	1	30	7	11	37	5	37	28	49	47	26	20	5	9	25	45	2	38	0	11	11	20	7	35	41	22	31	
9	32	48	11	3	48	49	10	31	19	16	46	15	38	48	1	8	0	22	19	26	21	14	48	27	15	25	31	
34	43	12	34	15	43	19	30	15	36	48	41	46	33	14	12	36	5	43	34	0	25	31	8	10	48	18	31	
48	33	22	16	40	11	18	44	34	2	14	19	37	21	44	14	29	28	38	30	0	45	43	45	36	45	23	26	
48	27	31	38	42	33	30	9	42	44	44	38	4	26	18	33	39	25	40	37	32	13	34	23	48	26	13	35	
43	40	10	36	29	14	3	33	4	32	38	41	18	0	10	36	11	43	7	19	4	42	34	45	6	11	17	47	
40	34	28	9	35	35	16	49	23	11	44	12	28	9	38	11	30	7	34	40	32	4	37	7	11	40	42	38	
30	37	12	1	41	21	35	44	39	3	2	19	43	20	45	41	43	11	31	26	23	11	21	47	25	9	5	25	
47	34	33	22	48	49	9	22	25	35	21	4	21	40	42	1	47	4	22	4	18	49	27	0	32	38	11	1	
15	23	12	22	1	4	20	20	13	10	30	32	49	0	5	29	47	45	47	26	8	43	24	28	35	9	49	25	
22	41	16	4	12	34	36	25	46	18	29	32	0	1	12	46	15	11	33	31	22	46	40	17	10	33	1	34	
44	26	36	0	48	18	49	27	29	46	24	45	27	30	10	4	43	19	12	13	22	48	15	19	42	36	13	20	
6	22	39	43	27	15	16	10	38	7	14	22	4	22	27	21	16	16	30	17	34	33	15	25	2	49	17	13	
18	3	3	38	1	6	37	31	40	11	8	42	43	12	47	39	41	10	7	15	1	18	15	15	25	37	21	47	
41	0	20	13	39	34	0	16	32	6	3	24	13	33	48	39	31	47	20	1	10	19	6	28	7	24	9	18	
34	48	46	38	34	29	9	34	29	4	49	42	45	2	10	32	46	28	8	27	29	3	1	10	10	25	11	5	
39	3	9	17	13	49	29	30	34	31	23	4	6	25	14	42	20	42	9	10	41	19	17	3	8	12	12	42	
