11	27	3	53	7	23	36	42	23	17	21	3	16	51	54	35	16	25	59	30	35	6	32	3	9	3	46	28	52	36	45	51	42	15	13	13	27	19	20	30	33	59	42	39	14	13	
16	16	0	6	31	21	53	34	36	0	53	32	17	58	44	40	15	12	53	14	44	56	45	37	8	49	17	40	24	51	26	32	51	45	31	7	24	9	15	53	50	34	2	42	2	50	
49	28	16	10	29	14	33	31	39	6	37	59	43	8	14	17	20	17	11	33	49	24	11	21	55	2	34	9	49	53	47	54	6	59	12	42	41	45	23	51	58	16	18	51	26	23	
5	44	33	47	13	33	17	20	1	18	58	42	41	12	33	21	46	1	6	1	0	19	18	45	48	39	35	22	59	6	22	9	13	40	23	39	59	5	47	1	55	41	49	48	30	4	
31	33	8	39	35	11	59	26	27	51	26	27	28	9	13	0	36	29	46	9	39	20	20	33	56	26	24	59	22	20	17	48	42	59	56	8	40	32	5	19	9	19	39	7	35	28	
38	24	56	25	8	19	38	10	45	0	8	34	2	10	6	3	58	33	0	10	56	5	37	40	19	57	51	53	19	35	38	0	36	55	41	48	58	55	50	42	40	54	6	54	34	36	
18	57	26	7	29	1	42	52	38	53	32	17	38	37	48	28	50	44	35	56	52	5	17	7	0	51	0	45	11	55	52	56	12	0	8	9	50	14	3	15	14	40	44	11	57	39	
40	8	8	48	49	33	36	21	53	9	17	38	21	19	18	35	48	2	42	22	12	53	42	3	23	21	3	11	7	59	29	14	36	21	7	21	52	32	18	37	34	8	11	2	48	37	
48	7	42	43	2	35	18	44	18	1	50	10	16	45	2	48	34	52	56	46	34	46	47	33	17	31	7	8	32	3	19	54	36	15	25	57	2	58	15	53	6	24	51	6	9	23	
36	14	7	31	32	15	43	20	55	33	14	20	49	41	38	58	25	35	43	19	14	34	33	43	46	22	21	24	59	33	10	24	17	31	44	1	35	20	56	42	34	48	4	36	0	20	
7	46	27	52	0	19	41	53	50	59	28	19	11	13	14	3	43	12	54	29	54	32	47	38	11	40	6	50	28	55	48	59	5	20	39	0	12	35	5	58	27	33	43	30	29	19	
28	13	12	4	2	52	1	17	46	11	23	39	27	54	29	8	17	0	30	3	28	0	10	10	28	45	7	5	17	49	31	6	4	58	9	31	49	58	0	40	25	1	31	50	43	17	
16	57	54	42	40	47	22	32	35	58	8	50	53	28	49	17	16	57	39	34	11	42	23	37	28	45	11	23	33	14	52	50	4	17	4	21	25	5	29	11	15	41	50	29	59	58	
44	29	9	38	53	53	16	16	45	25	56	36	5	41	12	10	29	31	42	47	35	37	0	1	14	30	41	29	18	3	36	18	53	10	13	55	30	47	53	1	38	0	9	41	4	51	
28	51	39	49	50	33	3	34	44	41	44	49	33	8	15	3	16	24	24	12	21	2	30	33	2	58	18	11	2	4	50	9	1	55	0	59	47	53	15	29	31	55	20	3	0	47	
7	13	19	12	13	10	28	29	48	29	55	7	38	53	0	4	3	52	55	9	2	39	53	16	5	8	0	47	40	25	46	18	32	45	17	43	20	21	55	53	13	13	1	30	16	8	
54	51	21	38	2	50	4	18	17	6	59	9	59	12	54	58	14	37	11	47	50	45	54	45	17	34	53	24	34	21	55	37	45	19	50	1	49	36	39	35	39	7	26	27	39	46	
54	44	56	56	39	31	22	16	23	33	23	4	44	58	47	16	24	44	16	2	47	48	6	39	14	59	2	7	9	46	6	26	22	12	29	27	58	50	25	23	33	18	25	31	30	19	
45	54	21	4	36	50	24	51	12	58	37	26	23	42	14	10	55	15	8	29	33	45	6	58	55	27	50	3	30	47	2	27	46	3	44	22	1	48	48	34	55	25	32	48	9	40	
55	24	18	25	43	21	47	16	0	57	28	6	37	14	14	56	13	39	40	44	52	37	58	20	49	22	48	45	44	56	53	21	1	26	51	25	19	17	48	43	52	30	48	40	46	33	
6	13	11	45	53	0	6	55	19	22	9	45	49	9	44	54	58	20	24	18	50	35	17	49	3	37	17	37	43	7	14	20	42	52	7	23	55	12	44	22	33	58	41	33	7	21	
40	4	57	11	23	39	23	1	16	56	33	11	1	43	49	46	59	36	33	59	3	0	4	2	25	46	56	4	37	25	42	18	44	28	9	4	31	41	34	57	32	43	38	13	26	38	
6	14	24	29	55	36	37	52	18	41	57	44	51	7	28	25	38	32	21	23	43	44	56	28	39	7	53	53	40	12	5	0	30	21	10	43	13	57	50	59	51	3	9	0	19	21	
24	1	31	5	26	12	46	23	10	33	42	38	36	23	6	30	5	24	38	27	3	41	27	39	6	2	25	40	36	46	59	44	27	29	46	20	8	20	31	14	1	18	56	30	8	49	
18	40	48	41	20	35	30	16	44	26	28	7	55	48	2	53	7	38	54	2	45	26	53	23	54	47	4	13	23	44	42	3	52	9	4	58	25	57	35	31	9	6	2	32	28	12	
59	33	45	29	16	43	17	33	43	28	14	10	13	9	16	27	52	12	17	31	34	16	42	37	10	35	5	31	6	44	46	16	48	0	58	46	7	43	19	24	49	24	3	45	54	9	
23	8	28	32	41	49	18	44	41	17	8	36	53	5	25	39	16	50	8	4	57	17	45	24	49	32	12	19	38	15	39	20	0	46	49	25	59	42	52	27	27	54	16	38	12	19	
18	5	14	41	19	26	7	14	31	22	28	56	23	48	31	28	10	19	8	21	28	29	35	36	47	35	25	58	23	48	23	43	3	51	43	14	14	33	7	9	25	39	25	33	46	48	
37	23	13	11	13	30	59	13	6	49	44	30	1	52	35	11	29	27	38	43	33	11	56	34	23	42	46	40	18	34	25	39	37	2	21	5	4	52	16	4	28	59	15	43	5	41	
38	50	27	21	48	15	23	0	53	45	51	29	23	6	37	55	20	20	34	31	54	48	46	40	51	7	32	4	28	2	47	44	8	54	25	31	9	50	57	8	13	5	20	58	37	0	
