11	45	26	39	45	28	52	32	1	0	19	21	2	31	57	28	49	18	29	10	35	40	49	8	40	52	
18	2	51	25	11	21	28	11	11	11	14	22	39	12	42	53	52	0	17	1	14	32	28	37	21	31	
11	12	45	39	41	13	25	20	6	14	58	21	31	56	43	49	30	15	29	21	35	27	51	34	32	51	
31	53	13	53	25	4	23	31	17	35	7	45	29	35	35	25	10	36	57	49	3	1	37	22	0	55	
0	42	1	10	51	28	39	48	46	36	28	8	57	51	14	23	26	28	26	11	42	25	15	12	22	58	
22	44	3	44	11	33	35	2	13	10	15	48	50	17	47	52	15	57	20	0	11	37	19	38	44	0	
31	11	2	43	21	6	55	4	28	44	51	12	31	11	21	10	54	56	29	23	21	10	2	2	32	13	
24	50	54	35	14	54	42	18	9	9	19	39	1	3	12	43	14	16	18	37	27	8	34	36	27	27	
15	27	36	44	5	2	45	41	10	51	37	58	7	27	10	3	3	12	21	0	35	28	11	44	20	4	
28	1	29	54	40	33	26	53	7	9	44	52	7	51	44	22	5	34	10	1	25	49	46	52	31	31	
25	31	6	49	54	23	44	6	41	56	13	52	2	25	33	35	31	38	17	8	3	51	2	44	3	16	
32	47	39	21	42	44	30	29	32	31	20	24	43	50	0	18	20	33	38	22	59	8	11	16	19	15	
24	32	11	23	18	13	21	36	47	25	43	3	2	37	4	41	53	49	28	13	44	47	4	3	54	42	
29	30	16	3	34	41	58	31	10	23	59	27	40	49	29	5	35	8	37	48	34	48	9	4	0	27	
7	47	2	43	4	4	2	40	18	27	32	42	14	25	25	56	6	6	23	57	18	17	0	0	15	45	
50	51	18	51	31	0	23	23	55	13	49	20	43	46	17	26	3	45	40	55	53	54	7	27	48	21	
10	1	14	6	45	37	17	55	29	23	49	25	42	22	48	33	27	45	28	21	22	42	55	0	31	39	
53	42	34	2	30	9	39	1	23	26	41	18	46	52	0	52	2	16	14	37	13	2	58	20	41	47	
15	35	50	20	59	54	43	46	51	42	53	41	48	45	53	0	12	7	41	54	35	22	49	55	42	59	
36	8	29	54	10	2	25	56	34	40	29	44	37	44	6	3	50	12	51	5	37	16	23	5	47	8	
9	13	35	57	25	8	55	49	37	13	2	45	13	5	2	38	53	52	16	19	44	37	32	23	0	1	
23	50	12	6	6	55	3	1	36	34	21	45	13	39	33	38	3	52	25	27	3	34	30	4	12	11	
31	41	43	41	24	44	54	27	56	14	28	34	16	53	16	42	33	37	6	35	42	17	19	59	50	41	
52	53	0	11	32	45	8	39	23	15	55	16	40	58	56	36	53	22	37	19	50	54	57	45	43	52	
24	42	30	6	49	0	13	3	32	32	58	7	56	2	41	25	4	27	35	7	46	28	55	55	46	5	
59	20	49	36	2	19	9	9	58	18	12	15	18	0	50	45	36	35	37	38	32	46	52	2	24	10	
20	19	12	37	34	5	31	22	45	54	18	44	56	2	57	29	57	30	24	51	9	52	15	15	16	51	
52	15	42	9	19	11	44	48	36	15	17	45	50	3	40	0	12	54	35	16	36	5	46	46	25	37	
50	6	6	13	30	34	14	20	7	37	23	38	0	31	37	5	56	10	28	27	16	53	42	46	6	13	
43	25	5	50	16	18	44	56	47	48	17	39	1	24	6	4	25	8	26	49	1	37	55	44	8	50	
12	14	3	12	2	39	38	1	53	11	22	17	12	36	28	1	35	9	1	36	12	7	37	19	16	30	
19	33	57	11	51	28	20	34	23	51	47	40	52	33	25	16	21	47	17	19	42	10	38	12	18	16	
16	17	59	13	21	56	55	26	22	27	33	37	44	57	3	28	0	42	11	5	11	41	0	3	16	8	
9	25	16	29	53	47	7	24	39	57	4	41	10	55	51	8	38	22	13	52	33	7	6	18	49	30	
54	39	47	43	0	33	16	4	59	43	9	58	56	59	4	7	23	45	39	1	28	54	1	26	33	10	
35	59	36	48	22	15	25	21	10	1	50	5	45	37	41	54	2	41	12	53	48	59	49	31	22	16	
48	17	56	13	17	16	29	25	6	36	48	27	38	36	14	13	18	24	22	43	29	55	45	35	35	12	
41	42	22	35	32	59	56	16	53	23	13	17	58	13	30	18	1	12	36	59	50	20	43	21	52	54	
14	49	20	45	56	50	3	54	49	22	39	15	7	1	36	16	37	30	57	54	33	46	7	34	43	6	
35	34	53	33	51	51	10	41	25	19	55	16	24	25	16	19	37	56	22	30	43	8	37	57	49	29	
57	24	51	19	31	42	40	11	13	29	10	28	24	14	56	16	33	51	14	46	22	43	14	33	36	0	
0	36	18	41	19	10	34	55	12	44	59	43	24	50	23	51	42	43	31	52	43	53	46	41	38	29	
23	37	20	27	18	23	25	15	30	55	13	24	20	9	9	50	53	31	22	35	22	24	15	35	57	12	
52	10	21	15	56	18	43	37	33	6	55	4	56	21	6	46	14	24	45	44	37	16	8	16	51	48	
50	36	13	19	29	38	7	6	38	48	12	2	30	16	32	1	20	45	25	46	27	47	18	2	20	34	
41	2	44	10	17	31	28	35	20	2	39	48	22	6	6	38	9	51	20	5	6	41	24	38	26	18	
59	12	2	13	43	57	5	0	45	40	51	33	48	49	43	5	47	52	43	45	53	16	12	43	57	25	
22	49	28	33	33	1	11	12	1	38	38	18	4	42	31	30	18	9	5	54	16	41	29	38	49	57	
54	14	37	45	49	3	20	11	48	57	15	12	40	56	31	36	2	17	4	24	2	13	0	36	36	5	
9	31	29	5	4	7	14	15	36	20	12	11	40	25	15	26	8	25	12	3	25	5	47	50	47	11	
15	12	23	6	8	12	14	34	43	49	13	6	32	32	17	23	30	30	6	55	5	7	20	14	45	26	
2	38	48	41	26	10	8	15	6	42	6	41	57	41	19	27	15	20	21	30	47	15	47	59	11	26	
11	13	22	50	29	32	46	6	5	50	5	5	30	39	54	50	2	26	0	50	57	54	2	18	29	11	
27	57	48	35	38	50	5	37	7	37	50	1	1	7	51	44	7	8	21	28	22	27	2	37	40	37	
33	59	23	40	42	36	25	54	11	33	36	59	26	33	7	3	14	38	39	30	6	21	34	51	9	8	
6	20	45	11	53	12	55	21	48	1	23	33	49	17	9	1	44	28	19	30	26	5	39	42	5	54	
9	39	12	50	7	5	14	11	25	48	27	33	23	12	23	34	50	26	58	34	6	40	37	22	31	20	
28	9	52	50	55	17	9	28	45	18	29	3	39	20	54	40	57	46	5	37	4	18	7	35	10	37	
43	21	34	44	39	39	36	33	52	32	3	36	49	54	11	9	4	49	43	5	45	35	28	37	10	59	
57	18	15	36	39	58	18	13	44	40	50	59	59	32	17	51	51	30	42	50	37	21	29	11	25	40	
2	21	24	29	20	39	8	46	26	48	21	17	8	15	29	15	9	4	33	10	2	29	18	53	47	1	
46	57	58	18	14	17	28	42	21	50	24	24	48	5	39	41	26	19	54	47	44	44	43	34	6	55	
27	10	8	50	25	21	47	49	28	13	16	38	39	45	31	16	46	50	14	52	2	50	20	35	42	30	
14	29	29	44	29	52	48	26	58	28	59	14	52	18	8	57	34	57	16	36	21	36	51	6	4	43	
1	34	45	20	54	12	25	51	18	36	27	7	24	42	42	8	46	54	16	10	8	49	24	58	11	41	
12	48	49	7	12	34	9	6	3	41	36	55	47	1	59	44	24	54	57	38	31	34	22	12	8	27	
6	13	31	30	39	30	12	34	25	54	58	8	36	2	2	55	50	49	23	36	8	13	28	28	14	33	
18	49	58	4	49	47	52	58	14	9	9	9	41	1	40	6	12	9	6	19	8	31	46	38	26	0	
32	43	31	37	15	23	13	38	30	53	20	24	4	43	21	59	4	59	34	29	8	27	0	39	2	7	
7	37	34	41	43	28	51	47	36	29	0	41	23	57	55	25	12	49	17	37	0	11	41	20	4	10	
47	18	57	16	37	54	52	58	28	26	58	25	50	35	36	48	33	26	52	25	53	18	40	11	42	7	
24	46	11	32	43	49	27	54	40	36	42	38	59	53	2	54	35	7	33	40	43	27	42	38	45	35	
11	25	51	12	13	25	32	56	47	3	31	4	22	56	39	53	30	10	40	18	31	16	11	38	27	21	
25	48	59	34	52	7	1	47	18	1	33	56	20	8	44	57	24	17	42	27	56	45	1	22	46	25	
51	48	5	25	36	36	45	25	8	49	35	56	36	38	25	59	37	39	29	39	23	54	21	55	29	39	
19	52	1	29	14	58	1	59	13	40	30	52	40	13	33	44	10	19	56	47	23	53	43	23	18	12	
16	57	27	42	22	37	38	4	53	21	56	46	55	33	3	41	10	40	39	32	59	58	52	44	32	50	
6	55	22	3	47	12	42	4	58	6	44	8	31	7	39	48	44	39	36	4	16	30	18	58	19	30	
28	35	49	26	29	10	0	37	10	20	16	7	53	49	6	19	49	9	53	13	19	31	1	15	28	19	
7	47	10	56	7	52	17	28	5	38	18	45	10	23	51	16	14	41	54	45	39	22	20	3	8	24	
26	58	5	5	47	39	48	46	10	23	9	12	10	57	0	4	20	22	7	58	56	54	8	41	33	45	
44	13	1	31	37	37	36	46	46	41	25	54	8	21	16	52	6	20	24	52	55	7	22	48	17	4	
55	35	14	48	45	11	2	2	47	4	27	19	16	16	17	15	45	4	42	16	11	25	2	3	9	23	
37	48	41	5	50	55	43	37	21	17	18	52	49	36	24	54	54	24	51	19	17	59	1	31	58	33	
21	23	53	13	38	50	26	11	17	11	47	14	52	20	43	1	2	36	56	15	15	14	27	57	56	50	
36	58	32	18	1	33	2	58	39	22	24	0	39	19	9	43	16	37	42	19	18	28	2	59	5	28	
36	43	44	46	11	45	56	51	14	10	17	27	47	17	19	18	53	45	7	57	25	17	5	45	29	58	
2	5	36	56	18	53	35	57	31	10	42	19	54	29	44	1	32	29	23	58	54	26	34	42	26	16	
30	13	17	12	53	34	37	21	8	37	56	28	20	17	20	26	50	30	6	54	40	19	54	20	43	52	
16	53	0	2	25	57	36	55	53	8	47	14	41	0	37	17	19	47	31	43	25	9	14	48	47	30	
19	34	33	36	3	34	29	38	9	46	55	32	34	19	49	51	41	18	46	10	40	15	14	56	8	45	
32	17	36	15	23	27	25	33	43	28	34	2	16	11	31	12	56	25	36	45	17	59	36	35	58	38	
53	20	22	14	55	9	57	7	56	53	52	2	14	1	11	49	13	6	46	39	29	23	24	11	51	37	
12	19	52	21	15	24	46	21	0	57	28	19	14	54	7	15	3	28	18	24	58	6	47	27	35	27	
50	53	35	55	35	26	24	59	29	34	28	58	34	36	57	34	7	26	33	4	24	37	3	8	50	38	
18	45	56	45	35	57	24	26	2	16	39	14	11	20	16	1	1	46	15	2	44	43	0	54	13	38	
48	35	54	14	56	57	45	19	6	16	1	3	17	18	53	47	4	35	42	16	15	43	51	8	17	27	
4	46	4	28	2	23	47	29	58	18	29	20	58	55	6	56	19	51	35	38	26	0	13	39	56	33	
39	54	21	30	45	23	24	14	41	47	5	40	28	3	36	24	45	28	22	23	7	21	43	51	33	54	
15	31	35	44	47	10	21	25	31	34	7	14	1	15	36	4	29	13	7	12	36	8	41	39	4	8	
