5	42	4	23	12	53	32	9	0	4	31	17	48	35	5	18	36	49	28	0	31	56	14	31	58	10	30	30	50	17	10	3	
11	47	6	59	4	48	4	45	24	8	59	32	36	8	24	21	53	57	51	30	53	14	43	49	8	24	52	2	32	11	21	45	
50	3	4	11	38	40	38	3	15	20	25	57	35	36	24	49	32	27	9	34	15	58	6	58	32	56	59	17	56	58	57	8	
31	54	59	33	14	58	25	18	0	44	21	32	53	18	39	30	52	33	30	18	38	7	29	3	28	53	13	57	57	57	12	51	
6	32	51	24	24	54	25	44	28	0	47	58	18	23	12	27	7	20	54	45	4	54	4	19	40	16	59	25	55	16	36	20	
26	57	20	28	39	18	34	26	34	12	54	25	46	18	28	13	1	32	40	7	42	13	21	32	21	34	37	1	22	44	16	12	
24	37	9	33	41	32	53	48	42	0	15	19	57	36	1	31	55	0	58	21	49	15	38	43	18	37	50	13	14	37	28	6	
55	4	51	20	1	24	37	25	26	47	34	3	15	4	9	15	0	26	34	21	39	37	27	44	44	54	16	2	23	17	9	23	
32	22	38	47	51	13	55	58	23	27	39	17	40	6	0	18	17	21	21	33	50	34	2	34	7	1	17	34	2	22	34	59	
46	2	6	4	27	39	13	10	0	50	58	41	0	39	32	11	2	52	6	0	12	7	29	10	22	54	38	27	5	36	47	41	
50	14	10	58	25	47	49	15	50	54	18	15	35	19	23	16	58	45	23	38	43	55	23	31	53	28	27	32	37	54	29	22	
27	24	56	49	41	4	2	46	44	17	44	23	26	20	20	10	26	30	38	15	5	18	24	18	38	9	39	41	30	16	38	18	
6	49	26	37	23	31	53	10	12	16	52	26	59	48	56	9	5	56	8	59	8	57	25	59	30	24	52	30	36	3	44	52	
54	41	9	15	31	31	5	53	6	3	14	31	47	15	17	16	7	59	29	10	23	15	9	26	19	4	8	51	28	6	43	1	
0	1	20	45	14	36	26	0	59	50	33	58	58	23	9	0	42	15	48	53	1	36	20	50	13	19	20	41	12	38	41	21	
16	51	29	5	2	39	4	42	2	17	15	43	17	11	40	32	43	0	58	47	28	1	50	4	51	11	7	2	25	53	16	35	
29	28	38	34	28	39	40	4	4	24	42	38	18	24	44	37	57	14	0	24	47	2	8	59	18	29	59	8	43	54	51	52	
27	43	0	12	20	49	56	6	57	2	58	11	58	12	15	27	9	53	23	12	17	30	37	28	21	37	26	38	7	39	55	48	
19	14	59	51	58	40	59	28	16	57	9	55	30	35	4	10	30	5	14	7	48	17	25	19	33	27	53	44	31	20	11	6	
45	8	10	39	39	36	2	29	50	35	21	17	40	52	59	1	26	41	12	21	59	43	29	23	6	43	56	59	1	5	31	43	
44	28	35	24	53	38	27	41	14	26	8	33	38	39	17	33	49	19	36	27	50	41	40	37	50	37	54	53	3	31	39	35	
25	28	48	15	57	49	57	14	52	20	48	59	54	45	45	53	4	41	43	44	5	27	2	9	48	1	48	40	59	10	48	41	
47	34	54	59	36	18	12	30	10	2	21	51	6	33	35	42	22	57	25	39	16	40	11	55	42	34	35	14	3	1	24	2	
11	59	40	8	8	32	57	54	53	12	53	13	52	27	24	16	28	13	5	10	51	8	32	34	44	58	52	45	49	48	38	26	
0	11	32	30	35	31	22	53	3	18	42	6	10	56	27	26	30	26	17	41	2	20	32	30	55	59	34	40	15	3	47	20	
7	46	36	13	43	52	34	44	20	20	37	12	46	4	8	25	3	4	43	38	37	3	27	9	39	15	32	32	51	35	41	53	
7	36	9	57	42	6	46	39	44	38	50	13	42	13	55	41	31	3	48	14	32	33	14	29	51	16	1	55	36	20	27	0	
9	29	27	35	30	14	8	1	33	32	29	32	37	21	37	41	11	15	39	54	7	43	52	58	4	23	10	7	33	33	29	7	
16	17	33	50	21	43	7	15	26	9	21	9	26	8	20	50	43	59	34	9	18	52	57	22	25	52	51	50	12	26	4	32	
29	20	21	1	6	1	35	33	53	27	27	40	55	13	39	48	10	21	55	39	9	29	29	39	42	31	39	46	4	47	26	43	
15	53	17	15	0	1	56	58	34	20	31	46	35	12	7	3	57	28	15	48	36	57	37	13	5	32	36	2	21	6	17	29	
19	30	58	37	17	50	27	55	18	34	1	25	6	34	50	2	23	47	38	36	23	0	4	22	31	35	48	54	51	24	25	26	
13	13	24	16	28	5	23	16	29	31	8	3	48	2	39	29	29	7	39	31	26	27	2	12	42	32	36	15	5	55	29	34	
44	32	54	0	0	5	49	56	38	36	46	35	9	49	34	22	50	5	32	2	18	6	16	23	22	30	3	15	9	10	33	12	
32	9	5	6	59	47	47	36	13	33	1	33	28	26	36	38	55	47	59	44	13	43	44	8	23	27	31	4	10	54	17	0	
46	29	29	9	28	58	7	3	43	30	34	5	31	21	40	44	11	2	5	0	52	4	16	3	7	49	10	48	32	58	57	12	
46	28	6	33	31	22	36	35	36	15	40	56	5	51	54	50	3	22	50	36	24	9	44	52	21	38	53	1	51	50	10	14	
35	14	8	38	52	8	59	34	59	24	45	36	18	19	14	13	39	7	9	48	27	9	34	54	55	28	8	14	51	51	35	55	
34	23	22	40	42	59	23	24	17	9	55	31	22	2	25	5	34	45	52	38	46	12	52	26	13	24	23	52	0	33	33	10	
42	47	33	52	11	47	32	14	37	57	11	0	25	35	34	21	8	39	49	23	6	43	30	44	32	2	53	29	26	54	6	12	
8	57	49	40	14	33	6	12	20	26	13	15	4	14	33	18	34	47	32	40	25	53	34	51	44	58	27	55	13	48	36	25	
55	55	14	22	27	45	14	2	13	14	48	8	33	12	31	8	36	11	55	56	49	18	34	12	24	48	21	20	34	19	2	44	
48	55	48	45	38	57	35	47	17	10	54	15	57	8	43	38	29	45	29	19	16	39	21	26	12	32	59	34	39	26	5	6	
10	43	46	37	7	11	9	16	35	7	53	28	24	19	33	21	41	27	49	9	16	4	23	50	45	46	4	8	41	57	8	51	
58	9	37	26	3	11	8	4	0	15	18	36	10	56	57	12	5	38	12	34	0	36	21	12	19	17	50	38	52	53	47	3	
24	50	1	16	16	36	53	20	51	15	5	46	47	3	56	36	49	3	53	3	35	15	30	56	49	35	27	1	4	9	54	45	
54	54	34	44	19	10	23	0	13	59	53	6	12	53	25	37	20	48	34	6	55	21	22	17	12	50	40	35	26	2	58	53	
11	53	51	45	36	2	38	52	2	59	55	8	47	17	36	7	47	6	21	41	31	23	53	4	47	43	40	10	16	27	58	9	
45	39	53	38	31	43	55	3	17	30	31	40	25	32	38	49	37	16	31	59	34	13	44	20	31	23	21	33	3	12	38	3	
24	24	16	33	12	54	9	2	30	54	25	42	47	53	42	0	19	32	32	4	42	17	14	6	3	0	45	32	24	34	30	51	
21	0	44	1	36	30	36	56	14	2	37	47	59	24	40	11	20	57	24	8	42	54	43	6	32	35	41	27	21	44	43	59	
24	58	45	15	13	39	16	30	5	29	38	22	59	26	8	51	5	2	2	16	2	49	20	35	17	40	41	14	16	34	56	40	
0	16	14	1	8	18	50	56	58	5	53	59	1	47	7	56	34	53	36	10	33	12	20	50	7	46	16	34	27	45	9	1	
22	12	16	5	6	14	13	37	26	32	18	34	39	9	20	54	1	20	16	16	25	35	55	27	6	35	8	45	40	13	31	56	
17	40	3	30	37	52	25	18	40	11	29	59	27	18	39	44	57	1	22	5	9	40	21	25	45	34	39	17	1	33	37	34	
