31	88	70	87	39	46	27	33	83	31	10	58	28	50	39	41	21	20	78	61	
69	70	31	7	9	33	74	13	35	83	31	58	4	12	45	44	80	4	38	82	
61	85	37	32	34	53	55	84	81	35	11	65	63	21	58	74	1	47	14	45	
78	44	29	79	4	54	43	55	86	19	26	10	13	51	8	38	86	75	61	13	
64	78	5	56	74	24	68	59	10	4	73	66	34	30	4	54	21	35	74	53	
55	57	77	89	10	54	64	26	6	84	29	68	10	74	36	26	69	59	3	58	
2	42	60	83	47	25	26	50	85	33	1	30	26	5	6	4	11	31	49	35	
49	23	64	38	29	25	28	33	55	59	76	32	54	40	9	46	61	78	73	7	
81	48	60	27	61	64	85	35	40	6	45	78	33	31	88	34	54	80	8	25	
40	4	78	28	48	60	0	48	8	27	13	76	27	51	49	14	10	8	8	21	
63	8	53	20	27	48	51	22	0	33	5	45	41	3	7	35	41	36	0	57	
8	87	40	30	89	52	31	23	59	78	3	21	45	47	19	1	47	36	73	31	
64	45	1	28	63	45	2	26	37	24	62	13	50	3	78	29	68	84	52	78	
82	62	52	62	7	23	42	67	12	89	80	25	2	17	10	3	8	75	52	71	
79	30	70	62	16	13	67	55	37	68	13	43	39	28	79	70	45	38	56	42	
24	52	54	51	57	27	25	62	48	63	13	62	79	74	56	80	67	44	33	29	
42	1	1	1	88	86	38	66	3	6	49	89	45	32	8	68	8	85	49	0	
56	74	19	4	44	30	43	30	59	0	0	89	11	12	27	72	67	4	11	5	
18	88	60	79	35	83	23	1	88	10	14	30	69	42	8	30	84	33	25	26	
22	39	61	77	81	73	4	25	34	27	78	15	59	32	62	37	71	81	17	80	
35	26	16	64	61	69	59	49	4	23	0	85	87	34	68	49	48	79	9	14	
73	71	36	49	73	14	75	11	27	52	26	10	51	59	16	28	78	69	24	4	
49	68	25	73	20	84	12	45	60	0	51	39	61	31	45	14	64	54	69	19	
54	23	67	74	31	71	76	26	2	79	5	27	62	10	77	8	6	43	74	31	
38	34	81	89	26	32	6	61	87	4	45	15	86	59	67	8	18	28	56	78	
60	81	50	2	42	3	8	7	40	88	6	81	24	35	66	72	11	17	74	78	
28	53	87	19	52	62	47	21	79	68	31	77	34	31	22	44	86	52	40	68	
66	8	64	11	11	2	6	14	70	65	83	69	38	75	47	24	60	34	7	32	
77	13	78	60	7	6	65	1	57	13	8	51	77	72	35	25	87	67	30	11	
68	88	35	35	57	58	78	39	18	84	71	77	23	38	63	67	61	79	86	39	
16	72	58	76	58	63	38	9	19	5	35	16	35	83	17	58	34	20	73	17	
38	46	30	79	88	63	68	87	57	20	61	36	48	69	41	25	5	2	25	77	
61	47	18	31	10	61	32	76	51	49	58	48	26	35	73	39	54	60	74	85	
15	11	3	45	4	83	45	73	56	69	39	48	18	30	48	12	80	15	76	85	
56	72	87	2	20	88	86	27	1	54	71	58	79	43	19	1	1	80	72	1	
59	21	67	26	59	51	42	8	5	58	40	50	0	51	11	9	80	41	46	58	
22	54	82	22	49	32	1	53	15	3	39	13	34	19	53	43	5	6	49	85	
65	12	77	86	6	78	76	62	68	87	81	9	89	6	71	59	39	32	64	69	
33	57	27	73	71	86	69	22	15	46	34	71	4	86	25	60	17	31	64	40	
88	56	20	37	89	87	76	55	61	4	60	6	41	48	54	41	0	1	40	56	
36	79	8	71	70	63	44	56	60	38	78	2	13	48	20	6	0	79	8	67	
81	16	56	75	27	50	86	29	46	24	53	55	11	9	47	9	9	68	29	41	
79	53	11	66	86	47	77	63	1	22	37	20	5	77	38	22	42	58	36	34	
11	24	88	48	25	68	84	61	69	6	43	68	46	60	43	66	51	81	73	53	
12	45	54	85	1	65	70	72	10	88	64	87	8	58	48	72	41	89	1	64	
10	76	14	27	88	18	60	64	59	1	53	88	48	74	62	22	53	47	56	26	
13	12	11	47	73	41	84	80	65	80	68	20	68	38	87	21	28	51	67	1	
18	37	72	59	18	73	83	10	37	12	11	12	4	34	87	30	55	70	54	33	
26	85	34	77	82	21	60	3	75	3	6	69	83	18	6	75	83	64	33	30	
75	74	73	81	4	82	82	86	84	64	32	35	8	82	18	37	33	18	25	23	
71	87	48	24	64	17	8	44	84	1	70	52	34	46	60	2	48	12	39	3	
9	3	53	32	78	43	10	19	27	26	88	62	43	27	66	11	36	1	58	5	
78	26	67	36	4	81	86	15	49	77	3	74	2	6	26	23	22	37	12	51	
69	10	6	23	61	37	32	36	27	21	53	57	6	73	75	74	38	68	68	45	
34	11	74	82	38	22	19	11	21	68	15	7	63	20	62	27	36	39	60	13	
85	55	28	36	9	37	4	32	49	40	73	11	0	44	22	54	19	31	65	53	
51	70	81	0	24	41	73	0	18	59	14	38	6	12	37	57	56	30	30	1	
33	56	40	6	48	49	58	14	87	73	65	40	86	25	82	62	4	6	66	30	
32	47	31	80	32	57	68	3	65	32	59	35	55	53	7	16	65	19	66	36	
22	77	7	54	25	63	51	53	70	2	5	71	67	75	37	2	17	37	42	38	
26	79	16	69	70	11	20	49	83	74	70	50	10	67	59	34	19	80	3	14	
38	8	69	14	54	14	74	17	3	41	72	31	78	2	6	57	32	11	16	21	
11	83	77	18	87	82	60	72	5	24	62	23	60	55	18	1	78	68	6	11	
40	81	48	5	15	49	21	39	75	66	76	37	81	42	88	67	57	67	35	79	
68	2	76	12	48	49	7	12	38	67	79	88	72	64	75	89	19	44	24	30	
87	10	45	65	70	31	39	74	73	78	66	20	79	8	55	6	18	41	51	2	
5	39	51	10	61	21	62	17	84	13	55	42	38	70	57	63	42	30	30	27	
43	50	63	73	81	16	26	49	42	2	72	4	28	18	0	80	36	55	31	20	
9	4	16	83	66	62	6	8	74	52	5	66	58	23	53	58	76	35	62	87	
2	50	27	75	8	19	23	69	67	47	88	57	56	20	48	57	75	8	69	11	
71	85	79	35	24	73	5	79	60	14	7	20	18	54	54	52	62	22	61	32	
3	49	82	46	37	14	9	20	67	55	64	25	20	51	43	20	41	37	47	62	
48	63	42	35	25	70	55	55	37	35	79	5	20	8	0	88	65	24	78	39	
10	86	46	37	12	86	3	72	34	24	42	55	71	19	29	33	5	40	22	76	
77	12	6	56	43	25	18	43	75	35	17	9	5	59	32	51	66	52	72	39	
45	52	63	8	12	80	70	55	83	25	3	70	71	77	63	61	2	45	61	40	
76	2	54	2	8	3	12	86	39	22	66	9	81	76	50	83	49	53	20	11	
3	28	6	16	21	43	80	18	26	25	76	56	21	61	70	54	6	61	3	24	
72	64	19	1	69	33	64	26	37	32	63	79	55	85	36	17	66	20	38	34	
28	21	65	16	1	39	70	13	9	58	29	40	28	8	44	49	11	62	35	79	
42	68	48	87	4	60	66	14	60	28	55	78	34	66	38	89	27	83	10	19	
28	67	27	87	30	80	57	87	81	48	45	30	56	70	49	48	14	25	26	49	
26	69	73	23	86	6	64	79	42	33	64	79	19	71	22	53	23	8	11	34	
43	52	6	87	20	74	64	77	6	41	76	25	55	67	63	13	70	59	10	59	
5	63	49	17	60	34	74	67	6	56	8	27	73	4	24	18	46	74	52	31	
31	69	56	1	36	39	17	44	62	57	20	44	48	35	43	69	7	25	19	64	
32	58	78	89	67	35	45	49	52	45	70	22	85	79	10	69	38	25	32	22	
28	38	30	2	62	77	61	68	22	4	76	7	77	23	20	54	63	76	26	4	
89	46	10	70	2	69	66	56	6	69	75	14	30	33	85	23	51	72	49	64	
10	85	46	22	28	89	13	65	55	40	70	36	48	7	46	5	24	75	51	77	
43	35	54	81	78	78	60	82	24	32	15	0	61	64	53	42	19	60	7	54	
25	34	1	51	82	79	33	61	43	44	82	4	48	57	63	84	10	0	48	87	
73	77	0	2	53	17	30	38	65	53	82	88	74	16	59	65	44	33	89	5	
27	33	85	4	50	85	14	45	57	40	89	52	7	31	33	48	0	24	21	86	
68	64	55	73	45	51	54	83	20	23	12	85	22	54	26	58	72	74	12	50	
18	79	59	71	59	57	4	47	25	26	11	31	55	54	76	77	42	36	44	6	
70	4	69	11	55	65	13	6	33	56	22	83	25	13	57	11	68	71	45	72	
64	48	17	0	1	63	16	59	56	38	25	69	65	8	69	64	81	5	34	17	
77	63	4	55	13	1	46	27	52	88	57	6	15	64	53	77	31	27	67	3	
53	20	88	38	65	80	18	21	8	32	21	50	63	9	8	20	52	49	87	2	
