19	23	11	8	1	16	7	7	7	18	22	20	17	26	14	12	16	5	15	4	17	2	17	24	8	14	15	21	19	11	28	22	19	4	22	18	17	10	29	2	27	26	22	22	14	14	22	1	9	9	
0	14	16	12	28	26	6	11	14	11	21	5	24	25	4	5	13	9	14	7	8	11	15	20	9	18	11	1	16	1	17	1	28	11	5	15	4	14	18	21	7	0	24	2	14	1	20	21	5	1	
20	27	11	23	26	20	27	2	19	4	11	14	23	5	10	12	12	28	22	5	23	17	4	26	18	17	13	7	12	3	6	8	28	15	8	29	6	23	12	6	10	4	18	9	8	16	27	18	20	19	
7	19	22	27	23	8	17	16	27	5	2	15	22	2	7	8	21	22	6	9	1	26	2	2	13	3	19	0	20	18	27	22	13	3	28	13	23	11	18	2	12	20	17	10	2	6	11	24	11	9	
19	22	4	21	22	11	1	2	2	13	22	14	28	3	16	20	13	21	4	20	9	2	10	22	10	6	26	9	18	6	27	10	0	10	15	10	8	18	19	3	18	3	16	8	9	26	2	3	28	23	
14	4	19	3	25	20	18	9	2	17	22	0	13	1	18	1	1	16	3	29	5	27	17	28	29	5	26	29	2	0	5	8	26	28	15	24	11	22	10	20	29	4	0	27	25	1	2	22	27	17	
14	9	8	18	8	26	26	7	16	25	11	13	23	28	25	5	29	18	17	6	13	15	6	18	18	11	23	23	25	29	7	11	13	25	12	15	19	29	25	14	13	22	2	17	2	29	7	5	7	9	
0	12	2	21	29	15	12	20	7	6	20	18	5	26	12	10	15	1	17	14	10	5	10	3	0	17	13	23	28	10	9	18	8	9	2	17	4	22	29	21	21	7	0	1	5	7	25	7	19	10	
7	9	27	8	6	25	13	0	25	4	5	23	20	10	1	16	0	21	18	11	27	24	24	12	5	7	6	11	4	20	10	9	2	14	27	1	5	13	25	13	13	9	23	22	17	24	6	14	22	11	
5	24	13	20	25	2	22	18	9	29	25	16	12	1	29	14	13	23	6	16	10	14	7	26	4	16	1	23	20	13	9	20	24	2	13	9	8	0	21	23	28	7	16	14	22	12	27	9	0	2	
0	21	7	22	23	15	6	11	27	13	0	11	21	10	29	19	7	14	21	22	3	13	21	27	25	5	3	13	25	11	21	26	27	8	27	6	0	0	22	23	15	19	14	15	15	5	14	8	27	24	
14	13	8	11	27	23	26	6	9	29	12	8	19	16	5	16	3	20	23	3	24	15	7	16	6	3	3	25	24	17	11	29	3	26	15	8	19	5	16	27	28	15	13	26	2	6	6	18	8	1	
4	4	28	27	27	23	15	27	22	14	1	12	3	18	14	1	20	18	5	2	18	21	8	4	23	27	9	8	10	16	0	0	17	20	9	7	18	3	16	7	23	24	16	26	9	18	14	1	20	12	
5	0	26	13	1	26	13	1	26	15	28	2	25	29	25	17	28	25	12	29	3	29	11	20	6	27	29	2	0	13	9	2	13	7	5	4	13	19	10	29	11	19	7	17	17	1	27	1	29	1	
2	13	0	15	28	20	23	7	10	7	28	1	4	14	28	16	21	1	13	2	11	29	25	26	7	7	29	1	10	14	6	6	16	26	24	5	26	10	19	20	4	17	2	14	6	24	5	13	13	2	
0	14	8	13	27	20	19	1	10	29	20	6	11	21	17	27	24	3	4	14	24	10	24	3	7	7	28	11	10	7	3	28	26	8	8	13	11	16	18	8	1	22	16	8	25	4	1	28	14	21	
15	6	27	18	24	25	24	24	9	15	1	16	4	10	19	13	5	7	17	13	2	6	2	19	8	8	15	9	4	14	25	29	15	11	11	29	17	29	10	8	26	13	15	16	20	11	0	1	0	8	
22	28	2	16	7	23	13	2	15	14	16	21	26	9	4	17	14	24	19	3	7	26	28	12	18	12	3	0	4	8	11	28	8	21	4	25	15	28	21	4	19	21	29	18	25	21	19	20	10	7	
13	7	19	21	29	19	16	15	11	24	12	13	11	3	21	21	4	10	25	14	15	24	14	5	9	11	19	9	3	0	29	14	18	0	19	1	8	13	28	0	6	29	10	13	5	21	8	17	28	4	
6	25	28	6	5	20	24	28	22	11	29	5	12	11	8	22	18	16	11	2	11	22	22	18	28	21	18	19	6	15	4	26	14	18	19	7	18	8	16	20	28	20	13	27	12	17	27	10	4	26	
15	11	15	26	11	10	3	2	3	27	3	27	13	7	29	13	3	19	21	20	27	19	9	24	0	29	7	19	11	19	1	26	7	4	22	19	23	12	24	24	19	18	25	17	27	1	20	0	15	14	
12	18	13	28	9	25	14	3	12	4	17	11	14	6	24	3	21	26	2	27	25	24	5	27	16	17	4	25	22	20	10	12	6	25	4	3	8	0	12	19	13	8	10	19	16	4	4	17	5	10	
