104	33	106	37	101	80	62	38	94	72	55	76	94	23	
42	87	89	66	29	109	7	59	105	51	6	78	104	86	
102	104	69	104	41	21	72	15	7	98	38	90	107	28	
7	26	10	100	53	66	47	54	42	23	102	6	38	65	
33	66	65	25	15	41	86	64	47	94	23	6	40	34	
8	30	63	16	20	83	100	100	60	93	72	65	78	51	
77	9	83	67	60	22	40	77	100	49	97	52	55	73	
47	34	106	103	37	33	25	15	69	59	22	102	109	43	
1	45	64	53	101	84	65	17	56	92	38	77	72	77	
75	79	20	88	68	88	10	80	15	39	52	109	90	91	
109	98	75	74	51	106	94	41	10	101	62	105	53	48	
100	75	15	45	105	72	7	96	5	99	3	10	14	31	
59	32	23	20	59	49	73	97	25	56	22	75	81	9	
99	58	102	12	1	43	46	70	48	76	77	34	9	57	
105	87	67	16	93	9	31	7	53	9	33	105	75	71	
59	22	68	57	95	2	19	60	56	18	15	97	84	25	
79	16	44	56	11	18	67	70	11	40	73	10	63	12	
102	54	24	101	17	104	44	79	24	99	109	23	108	48	
55	68	54	33	20	81	8	62	35	102	56	24	24	99	
79	27	101	105	6	31	67	29	17	25	7	73	60	69	
6	107	51	89	61	108	9	11	11	79	18	73	0	54	
91	71	9	48	59	96	63	63	3	15	41	105	95	42	
102	71	68	67	81	60	44	58	93	20	33	104	37	103	
73	64	58	53	13	24	7	27	18	108	99	54	53	61	
26	63	11	95	12	50	75	32	97	41	47	63	45	7	
78	19	57	80	65	33	86	11	44	99	14	104	46	89	
49	80	8	31	8	95	92	58	13	19	11	87	51	59	
104	100	99	16	79	67	44	29	22	34	88	3	108	39	
93	80	1	11	81	97	24	105	50	95	77	88	96	64	
55	82	22	94	89	91	89	106	3	102	81	54	34	4	
80	76	64	97	66	37	68	105	27	30	98	67	16	78	
40	73	20	71	32	20	85	27	83	23	84	36	79	47	
96	12	28	101	86	97	31	43	94	103	50	75	95	70	
85	78	30	22	1	109	79	46	58	18	31	12	57	66	
33	48	107	83	40	59	59	8	104	13	99	66	93	28	
71	1	43	23	79	74	50	73	105	9	91	92	83	52	
107	102	81	58	52	105	33	74	12	61	63	89	36	76	
107	71	16	82	53	24	27	35	22	1	28	21	56	9	
106	30	86	39	80	1	38	18	16	0	64	1	17	44	
94	86	48	87	8	86	71	10	17	60	86	102	20	88	
75	40	32	49	34	96	106	84	69	46	30	74	0	103	
53	87	77	58	43	88	20	87	6	70	72	42	81	33	
89	13	27	10	21	82	78	58	18	104	85	49	95	26	
45	44	46	61	68	30	69	60	62	8	12	57	59	60	
68	70	57	102	100	7	83	91	72	10	83	56	35	89	
46	99	31	85	38	63	95	108	21	40	37	90	89	33	
5	80	66	24	29	26	44	51	60	64	21	96	17	98	
65	59	21	75	22	107	46	81	85	83	77	44	53	76	
38	74	44	34	19	88	70	21	93	88	5	6	53	100	
38	16	53	70	8	89	75	19	51	107	78	1	19	8	
107	79	105	58	21	24	69	74	33	82	33	82	9	50	
90	49	109	34	46	86	8	71	37	93	2	106	41	76	
52	100	28	87	59	19	49	61	85	64	16	100	21	84	
100	101	86	101	85	29	58	96	45	41	45	0	29	3	
90	98	75	103	7	70	72	4	18	107	86	43	63	79	
25	12	73	64	47	1	30	3	3	12	46	107	26	109	
58	43	95	3	46	34	62	46	20	32	98	5	66	31	
97	84	96	47	90	10	8	106	60	15	69	108	95	54	
90	18	94	63	41	17	56	58	72	37	72	52	7	76	
21	11	103	60	108	75	5	64	101	29	52	0	103	27	
52	98	20	12	80	15	64	69	61	108	81	54	82	6	
29	4	47	59	81	46	9	65	96	3	104	30	26	30	
45	49	108	76	47	9	79	2	99	107	94	80	61	2	
66	100	40	54	10	71	82	59	64	100	14	43	29	70	
72	1	57	91	43	21	83	97	70	16	45	26	28	63	
104	57	42	0	59	12	77	26	32	9	109	105	61	40	
14	67	47	97	109	42	35	69	45	81	50	23	106	91	
60	73	51	88	71	56	3	54	6	48	51	19	106	77	
45	28	82	26	59	15	14	59	88	63	44	69	68	106	
37	48	3	84	34	107	57	83	0	42	65	93	57	106	
83	39	108	96	97	12	8	72	81	40	34	2	75	1	
50	50	106	15	96	55	50	1	30	62	104	27	67	50	
65	92	92	22	105	73	6	72	76	59	79	2	45	33	
37	17	49	69	80	68	7	62	26	1	43	24	109	65	
0	39	37	83	46	4	13	1	33	58	99	88	33	62	
77	61	53	105	12	75	104	64	89	65	21	108	101	92	
53	58	54	96	33	109	48	65	97	62	19	43	108	71	
60	57	11	33	75	71	100	83	38	5	20	77	1	19	
14	57	78	97	96	25	14	83	43	48	14	23	57	42	
86	63	38	101	24	33	62	66	22	32	34	103	7	50	
76	36	20	17	55	39	22	101	17	90	24	48	23	99	
75	108	67	109	98	7	76	12	25	1	83	103	26	77	
43	50	57	30	20	72	104	43	41	70	45	93	51	30	
102	24	51	30	55	82	65	71	66	101	30	87	57	72	
40	64	75	54	68	106	64	55	104	97	96	35	86	15	
91	83	65	16	108	64	100	10	106	48	56	22	87	96	
16	67	14	74	54	33	88	5	73	19	12	90	21	75	
19	104	49	108	29	65	74	10	15	109	19	95	63	21	
78	42	45	18	68	58	17	62	43	42	97	13	12	91	
59	106	10	79	75	26	78	45	54	100	107	95	10	101	
88	39	39	73	68	28	6	49	93	27	98	107	100	58	
100	86	71	98	26	64	78	45	42	47	70	43	106	51	
1	99	103	107	51	15	43	47	44	28	62	91	53	74	
83	14	69	7	80	36	99	77	91	21	56	2	57	51	
23	39	86	31	75	47	36	2	54	28	17	22	49	1	
98	85	97	94	108	23	73	59	30	52	41	100	51	107	
102	75	31	9	96	37	91	61	34	102	73	84	76	6	
47	76	85	52	93	7	14	99	106	81	90	27	66	68	
69	82	41	96	53	58	90	28	77	19	25	27	38	60	
53	81	108	107	46	24	100	92	103	27	94	29	15	14	
