27	112	156	45	157	119	36	131	78	44	61	121	129	68	71	80	4	56	
37	79	20	128	16	132	97	188	93	161	92	130	183	20	19	183	117	86	
89	85	100	161	55	160	9	28	114	98	73	104	9	51	20	91	50	115	
184	64	148	56	4	157	11	180	117	117	78	182	188	104	45	20	24	135	
156	78	186	101	124	175	95	171	166	106	108	64	16	117	112	38	145	55	
45	32	24	7	59	31	164	151	106	41	178	72	156	20	111	10	137	28	
37	117	137	21	93	124	137	5	169	189	89	128	20	69	119	164	155	72	
97	124	106	118	168	185	182	44	102	187	2	135	104	27	113	97	122	14	
93	30	152	186	139	112	8	35	98	133	104	141	3	96	7	19	143	44	
170	33	120	22	28	102	85	69	111	111	103	155	43	93	76	16	43	79	
53	142	121	28	9	73	112	176	184	40	100	39	78	175	36	80	68	122	
50	156	106	30	129	166	107	146	122	161	123	131	172	138	71	142	132	12	
54	131	126	126	110	168	145	96	56	128	131	118	47	106	123	68	160	184	
136	120	72	95	178	155	140	21	81	93	69	7	1	15	182	165	145	143	
87	69	168	179	177	11	150	57	1	60	169	185	92	19	120	180	124	40	
39	154	0	88	72	116	150	64	122	127	126	111	175	86	111	142	149	103	
59	34	157	95	55	101	63	169	161	154	181	112	171	74	30	48	36	62	
101	95	26	44	75	164	144	6	170	2	120	106	169	88	9	17	90	30	
80	141	144	85	136	180	183	3	177	172	112	162	95	151	154	71	106	108	
11	107	62	4	117	112	136	134	129	115	183	139	4	73	80	63	44	186	
146	79	154	173	172	25	161	12	88	120	73	25	32	59	90	160	121	54	
140	164	179	116	113	145	88	108	111	38	107	48	64	80	55	152	188	107	
69	82	25	29	56	57	146	75	36	123	109	171	84	157	88	186	107	23	
122	135	24	105	23	73	33	183	178	20	108	64	105	26	174	136	67	88	
34	174	97	183	170	129	129	87	102	178	119	148	104	10	81	145	130	170	
87	11	70	158	182	146	14	89	47	65	182	154	46	21	167	105	40	12	
28	162	46	171	158	138	61	141	183	60	60	180	134	9	126	96	128	90	
116	113	50	44	76	20	99	66	106	10	66	120	54	115	176	159	86	54	
